"Four-Year Graduation Rates, Trend"
"All Districts, All Schools, High Needs Status"

"",,,"Graduates",,,,
"",,,"Four-Year Graduation Rate by Year",,,,
"District","School","High Needs Status","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","High Needs","N/A","N/A","N/A","N/A","*"
"Amistad Academy District","Amistad Academy","High Needs","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-High Needs","*","*","*","*","*"
"Ansonia School District","Ansonia High School","High Needs",70.2,70.3,"*",85.7,"*"
"Ansonia School District","Ansonia High School","Non-High Needs",90.5,92.6,"*",100.0,"*"
"Avon School District","Avon High School","High Needs",86.7,"*","*","*",90.2
"Avon School District","Avon High School","Non-High Needs",98.3,"*","*","*",99.0
"Berlin School District","Berlin High School","High Needs",88.9,"*","*",83.6,"*"
"Berlin School District","Berlin High School","Non-High Needs",97.5,"*","*",98.1,"*"
"Bethel School District","Bethel High School","High Needs",86.0,"*",84.0,"*",92.3
"Bethel School District","Bethel High School","Non-High Needs",97.8,"*",96.9,"*",97.6
"Bloomfield School District","Bloomfield High School","High Needs",76.0,86.5,90.5,80.2,90.4
"Bloomfield School District","Bloomfield High School","Non-High Needs","*",98.0,89.5,100.0,97.8
"Bloomfield School District","Global Experience Magnet School","High Needs","N/A","*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Non-High Needs","N/A","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","High Needs","N/A","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-High Needs","N/A","*","*","*","*"
"Bloomfield School District","The Big Picture High School","High Needs","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","The Big Picture High School","Non-High Needs","*","N/A","N/A","N/A","N/A"
"Bolton School District","Bolton High School","High Needs","*","*","*","*","*"
"Bolton School District","Bolton High School","Non-High Needs",100.0,"*",100.0,"*",95.7
"Branford School District","Branford High School","High Needs",93.8,87.7,85.7,81.7,"*"
"Branford School District","Branford High School","Non-High Needs",95.9,95.2,96.8,96.4,"*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","High Needs","N/A","N/A","N/A","*","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","Non-High Needs","N/A","N/A","N/A","*","*"
"Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","High Needs","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","Bassick High School","High Needs","*",59.0,62.2,"*",60.8
"Bridgeport School District","Bassick High School","Non-High Needs","N/A","*","N/A","*","N/A"
