"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts, All Schools, Push Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,,,"Students Reaching Health Standard (%)",,,,
"District","District Code","School","School Code","Grade","Test","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","All Grades","Push Up",51.2,66.2,56.8,61.2,54.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","All Grades","Push Up",60.3,56.5,50.6,58.2,54.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","All Grades","Push Up",76.4,85.9,81.1,81.7,91.9
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","All Grades","Push Up",81.4,83.1,79.1,67.3,88.2
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","All Grades","Push Up",82.3,78.3,66.9,61.5,67.6
"Ansonia School District","=""0020011""","Mead School","=""0020311""","All Grades","Push Up",42.9,53.0,40.9,53.9,50.0
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","All Grades","Push Up","N/A","N/A","N/A","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","All Grades","Push Up",65.4,65.4,54.5,64.6,76.3
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","All Grades","Push Up","N/A","N/A","N/A",61.3,8.5
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","All Grades","Push Up",58.8,63.6,51.6,62.2,57.1
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","All Grades","Push Up","N/A","N/A","N/A","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","All Grades","Push Up","N/A","N/A","N/A","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","All Grades","Push Up","N/A","N/A","N/A","N/A",0.0
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","All Grades","Push Up",57.9,69.7,66.5,56.2,49.1
"Ashford School District","=""0030011""","Ashford School","=""0030111""","All Grades","Push Up",84.2,81.5,74.6,63.6,29.4
"Avon School District","=""0040011""","Avon High School","=""0046111""","All Grades","Push Up",79.0,76.7,78.0,81.4,84.8
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","All Grades","Push Up",65.4,94.4,92.9,86.3,57.7
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","All Grades","Push Up",78.2,70.9,65.2,86.8,71.7
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","All Grades","Push Up",71.3,60.3,62.8,80.5,65.4
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","All Grades","Push Up",72.5,88.3,88.3,90.2,90.3
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","All Grades","Push Up",70.6,79.8,59.5,69.4,65.3
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","All Grades","Push Up",89.6,86.8,95.6,91.0,66.0
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","All Grades","Push Up",78.8,72.9,69.1,78.4,74.5
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","All Grades","Push Up",76.0,87.8,84.1,82.7,91.5
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","All Grades","Push Up",77.5,78.8,84.4,84.3,90.8
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","All Grades","Push Up",85.0,83.3,82.9,81.8,85.7
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","All Grades","Push Up",56.6,39.1,60.0,60.2,76.1
