"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts, All Schools, Sit and Reach"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,,,"Students Reaching Health Standard (%)",,,,
"District","District Code","School","School Code","Grade","Test","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","All Grades","Sit and Reach",64.3,76.9,78.9,80.6,70.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","All Grades","Sit and Reach",52.9,53.0,61.1,80.9,65.8
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","All Grades","Sit and Reach",86.5,91.0,93.7,93.9,96.5
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","All Grades","Sit and Reach",86.4,81.0,90.7,91.7,90.4
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","All Grades","Sit and Reach",91.9,94.3,87.8,62.1,87.6
"Ansonia School District","=""0020011""","Mead School","=""0020311""","All Grades","Sit and Reach",79.5,81.8,80.7,74.5,77.4
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","All Grades","Sit and Reach","N/A","N/A","N/A","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","All Grades","Sit and Reach",82.1,82.1,76.4,83.5,88.8
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","All Grades","Sit and Reach","N/A","N/A","N/A",67.7,58.5
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","All Grades","Sit and Reach",81.7,79.1,79.5,86.8,80.6
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","All Grades","Sit and Reach","N/A","N/A","N/A","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","All Grades","Sit and Reach","N/A","N/A","N/A","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","All Grades","Sit and Reach","N/A","N/A","N/A","N/A","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","All Grades","Sit and Reach",78.5,73.9,80.0,61.9,65.4
"Ashford School District","=""0030011""","Ashford School","=""0030111""","All Grades","Sit and Reach",82.7,81.5,87.7,95.0,45.0
"Avon School District","=""0040011""","Avon High School","=""0046111""","All Grades","Sit and Reach",71.3,72.8,81.8,69.0,66.5
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","All Grades","Sit and Reach",61.6,66.3,71.1,71.8,51.5
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","All Grades","Sit and Reach",76.7,75.5,68.7,78.5,84.1
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","All Grades","Sit and Reach",83.3,90.1,85.4,68.8,90.4
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","All Grades","Sit and Reach",83.1,81.7,81.7,84.9,88.9
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","All Grades","Sit and Reach",82.4,93.3,74.7,75.9,85.3
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","All Grades","Sit and Reach",89.6,78.9,83.3,88.9,85.7
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","All Grades","Sit and Reach",82.6,85.2,80.2,83.2,82.8
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","All Grades","Sit and Reach",97.3,98.9,92.7,93.8,88.1
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","All Grades","Sit and Reach",95.5,99.0,96.9,93.1,98.9
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","All Grades","Sit and Reach",97.5,100.0,100.0,98.2,95.2
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","All Grades","Sit and Reach",53.8,71.8,62.1,77.2,66.4
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","All Grades","Sit and Reach",86.7,85.3,82.9,83.3,82.7
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","All Grades","Sit and Reach",84.5,88.4,89.7,89.0,81.6
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","All Grades","Sit and Reach",97.1,89.8,82.1,67.3,89.6
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","All Grades","Sit and Reach",75.3,94.2,94.7,83.3,96.2
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","All Grades","Sit and Reach",71.3,78.6,79.8,73.1,77.0
