"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELA","F",551,548,99.5,547,179,32.7,140,25.6,166,30.3,62,11.3,228,41.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Math","F",551,547,99.3,546,242,44.3,163,29.9,108,19.8,33,6.0,141,25.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA","F",348,345,99.1,345,88,25.5,91,26.4,105,30.4,61,17.7,166,48.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA","N",136,136,100.0,136,29,21.3,38,27.9,42,30.9,27,19.9,69,50.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA","R",60,60,100.0,60,10,16.7,20,33.3,17,28.3,13,21.7,30,50.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math","F",348,344,98.9,344,108,31.4,114,33.1,83,24.1,39,11.3,122,35.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math","N",136,136,100.0,136,48,35.3,49,36.0,19,14.0,20,14.7,39,28.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math","R",60,60,100.0,60,13,21.7,22,36.7,15,25.0,10,16.7,25,41.7
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELA","N",144,140,97.2,140,"*","*","*","*",36,25.7,78,55.7,114,81.4
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Math","N",144,142,98.6,142,6,4.2,33,23.2,40,28.2,63,44.4,103,72.5
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELA","F",51,48,94.1,48,"*","*",17,35.4,19,39.6,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELA","N",50,45,90.0,45,"*","*","*","*","*","*",17,37.8,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELA","R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Math","F",51,44,86.3,44,27,61.4,"*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Math","N",50,48,96.0,48,"*","*",13,27.1,12,25.0,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Math","R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","ELA","F",229,222,96.9,222,97,43.7,72,32.4,"*","*","*","*",53,23.9
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","ELA","N",113,112,99.1,112,27,24.1,32,28.6,39,34.8,14,12.5,53,47.3
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","ELA","R",52,52,100.0,52,"*","*",17,32.7,21,40.4,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Math","F",229,222,96.9,222,136,61.3,64,28.8,"*","*","*","*",22,9.9
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Math","N",113,112,99.1,112,46,41.1,40,35.7,16,14.3,10,8.9,26,23.2
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Math","R",52,52,100.0,52,16,30.8,25,48.1,"*","*","*","*",11,21.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","ELA","F",210,210,100.0,210,83,39.5,72,34.3,39,18.6,16,7.6,55,26.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","ELA","N",119,119,100.0,119,40,33.6,24,20.2,36,30.3,19,16.0,55,46.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","ELA","R",31,31,100.0,31,10,32.3,9,29.0,6,19.4,6,19.4,12,38.7
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Math","F",210,210,100.0,210,96,45.7,81,38.6,"*","*","*","*",33,15.7
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Math","N",120,120,100.0,120,39,32.5,52,43.3,"*","*","*","*",29,24.2
