"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELA",592,589,99.5,589,170,28.9,155,26.3,165,28.0,99,16.8,264,44.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Math",592,586,99.0,585,222,37.9,189,32.3,97,16.6,77,13.2,174,29.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA",538,534,99.3,534,109,20.4,134,25.1,199,37.3,92,17.2,291,54.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math",538,533,99.1,533,119,22.3,161,30.2,139,26.1,114,21.4,253,47.5
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELA",159,156,98.1,156,12,7.7,27,17.3,45,28.8,72,46.2,117,75.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Math",159,156,98.1,156,8,5.1,35,22.4,54,34.6,59,37.8,113,72.4
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","ELA",353,343,97.2,343,145,42.3,105,30.6,76,22.2,17,5.0,93,27.1
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Math",353,343,97.2,342,160,46.8,121,35.4,37,10.8,24,7.0,61,17.8
"Ansonia School District","=""0020011""","Mead School","=""0020311""","ELA",346,346,100.0,346,136,39.3,95,27.5,77,22.3,38,11.0,115,33.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Math",346,346,100.0,346,141,40.8,123,35.5,58,16.8,24,6.9,82,23.7
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","ELA",351,344,98.0,344,105,30.5,93,27.0,96,27.9,50,14.5,146,42.4
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Math",351,343,97.7,343,114,33.2,122,35.6,80,23.3,27,7.9,107,31.2
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","ELA",145,140,96.6,139,110,79.1,18,12.9,"*","*","*","*",11,7.9
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Math",145,133,91.7,133,125,94.0,"*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","ELA",724,724,100.0,724,244,33.7,199,27.5,203,28.0,78,10.8,281,38.8
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Math",724,724,100.0,724,321,44.3,219,30.2,123,17.0,61,8.4,184,25.4
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","ELA",413,411,99.5,411,126,30.7,102,24.8,118,28.7,65,15.8,183,44.5
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Math",413,411,99.5,411,192,46.7,136,33.1,62,15.1,21,5.1,83,20.2
"Ashford School District","=""0030011""","Ashford School","=""0030111""","ELA",231,231,100.0,231,35,15.2,51,22.1,82,35.5,63,27.3,145,62.8
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Math",231,231,100.0,231,48,20.8,70,30.3,73,31.6,40,17.3,113,48.9
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","ELA",540,538,99.6,538,22,4.1,75,13.9,212,39.4,229,42.6,441,82.0
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Math",542,539,99.4,539,35,6.5,73,13.5,128,23.7,303,56.2,431,80.0
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","ELA",242,242,100.0,242,13,5.4,40,16.5,59,24.4,130,53.7,189,78.1
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Math",243,243,100.0,243,14,5.8,55,22.6,76,31.3,98,40.3,174,71.6
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","ELA",213,212,99.5,212,15,7.1,23,10.8,46,21.7,128,60.4,174,82.1
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Math",213,211,99.1,211,12,5.7,25,11.8,76,36.0,98,46.4,174,82.5
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","ELA",550,549,99.8,549,35,6.4,69,12.6,184,33.5,261,47.5,445,81.1
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Math",550,548,99.6,548,54,9.9,113,20.6,160,29.2,221,40.3,381,69.5
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","ELA",675,674,99.9,674,68,10.1,146,21.7,299,44.4,161,23.9,460,68.2
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Math",675,674,99.9,673,148,22.0,213,31.6,166,24.7,146,21.7,312,46.4
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","ELA",227,226,99.6,226,24,10.6,52,23.0,67,29.6,83,36.7,150,66.4
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Math",227,226,99.6,226,21,9.3,66,29.2,67,29.6,72,31.9,139,61.5
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","ELA",284,283,99.6,282,26,9.2,59,20.9,99,35.1,98,34.8,197,69.9
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Math",284,281,98.9,280,40,14.3,76,27.1,94,33.6,70,25.0,164,58.6
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","ELA",130,129,99.2,129,16,12.4,19,14.7,42,32.6,52,40.3,94,72.9
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Math",130,128,98.5,128,15,11.7,30,23.4,50,39.1,33,25.8,83,64.8
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","ELA",232,224,96.6,224,29,12.9,49,21.9,70,31.3,76,33.9,146,65.2
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Math",232,224,96.6,224,24,10.7,58,25.9,67,29.9,75,33.5,142,63.4
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","ELA",126,125,99.2,125,24,19.2,23,18.4,36,28.8,42,33.6,78,62.4
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Math",126,125,99.2,125,11,8.8,30,24.0,47,37.6,37,29.6,84,67.2
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","ELA",650,648,99.7,648,53,8.2,104,16.0,276,42.6,215,33.2,491,75.8
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Math",650,647,99.5,647,119,18.4,200,30.9,180,27.8,148,22.9,328,50.7
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","ELA",127,126,99.2,126,8,6.3,30,23.8,30,23.8,58,46.0,88,69.8
