"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, Special Education Status (SWD)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELA","N",535,534,99.8,534,131,24.5,141,26.4,"*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELA","Y",57,55,96.5,55,39,70.9,"*","*","*","*",0,0.0,"*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Math","N",535,530,99.1,530,178,33.6,181,34.2,"*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Math","Y",57,56,98.2,55,44,80.0,8,14.5,"*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA","N",501,498,99.4,498,81,16.3,"*","*","*","*",92,18.5,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA","Y",37,36,97.3,36,28,77.8,"*","*","*","*",0,0.0,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math","N",501,498,99.4,498,"*","*",154,30.9,"*","*",114,22.9,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math","Y",37,35,94.6,35,27,77.1,"*","*","*","*",0,0.0,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELA","N",148,147,99.3,147,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELA","Y",11,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Math","N",148,147,99.3,147,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Math","Y",11,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","ELA","N",286,282,98.6,282,98,34.8,92,32.6,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","ELA","Y",67,61,91.0,61,47,77.0,"*","*","*","*",0,0.0,"*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Math","N",286,282,98.6,281,114,40.6,106,37.7,37,13.2,24,8.5,61,21.7
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Math","Y",67,61,91.0,61,46,75.4,15,24.6,0,0.0,0,0.0,0,0.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","ELA","N",297,297,100.0,297,96,32.3,"*","*","*","*",38,12.8,"*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","ELA","Y",49,49,100.0,49,40,81.6,"*","*","*","*",0,0.0,"*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Math","N",297,297,100.0,297,102,34.3,114,38.4,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Math","Y",49,49,100.0,49,39,79.6,"*","*","*","*",0,0.0,"*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","ELA","N",292,290,99.3,290,"*","*",84,29.0,90,31.0,"*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","ELA","Y",59,54,91.5,54,37,68.5,9,16.7,"*","*","*","*",8,14.8
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Math","N",292,289,99.0,289,76,26.3,114,39.4,"*","*","*","*",99,34.3
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Math","Y",59,54,91.5,54,38,70.4,8,14.8,"*","*","*","*",8,14.8
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","ELA","N",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","ELA","Y",136,131,96.3,130,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Math","N",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Math","Y",136,124,91.2,124,"*","*","*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","ELA","N",644,644,100.0,644,182,28.3,187,29.0,"*","*","*","*",275,42.7
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","ELA","Y",80,80,100.0,80,62,77.5,12,15.0,"*","*","*","*",6,7.5
