"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"District Code","District","School Code","School","Subject","English Learner Status (EL)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","ELA","ELL",14,"*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","ELA","Non-ELL",451,"47.7%","71.5%"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Math","ELL",14,"*","*"
"=""2880013""","Achievement First Hartford Academy Inc. District","=""2880113""","Achievement First Hartford Academy Inc.","Math","Non-ELL",448,"43.3%","65.2%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","ELA","ELL",24,"54.2%","68.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","ELA","Non-ELL",389,"43.4%","67.1%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Math","ELL",24,"45.8%","62.6%"
"=""2790013""","Amistad Academy District","=""2795113""","Amistad Academy","Math","Non-ELL",387,"55.8%","76.9%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELA","ELL","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","ELA","Non-ELL","*","48.4%","66.7%"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Math","ELL","*","*","*"
"=""0010011""","Andover School District","=""0010111""","Andover Elementary School","Math","Non-ELL","*","50.0%","76.1%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA","ELL","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","ELA","Non-ELL","*","24.8%","44.2%"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math","ELL","*","*","*"
"=""0020011""","Ansonia School District","=""0025111""","Ansonia Middle School","Math","Non-ELL","*","33.2%","52.0%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELA","ELL","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","ELA","Non-ELL","*","26.7%","53.3%"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Math","ELL","*","*","*"
"=""0020011""","Ansonia School District","=""0020311""","Mead School","Math","Non-ELL","*","34.2%","59.1%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELA","ELL","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","ELA","Non-ELL","*","36.1%","60.2%"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Math","ELL","*","*","*"
"=""0020011""","Ansonia School District","=""0020811""","Prendergast School","Math","Non-ELL","*","38.1%","62.2%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","ELA","Non-ELL",94,"21.3%","44.0%"
"=""2440014""","Area Cooperative Educational Services","=""2449414""","Mill Road School","Math","Non-ELL",88,"26.1%","48.0%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA","ELL",45,"26.7%","51.4%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","ELA","Non-ELL",649,"28.7%","47.2%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math","ELL",46,"30.4%","50.6%"
"=""2440014""","Area Cooperative Educational Services","=""2445114""","Thomas Edison Magnet Middle School","Math","Non-ELL",650,"37.4%","55.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELA","ELL","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","ELA","Non-ELL","*","37.5%","61.8%"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Math","ELL","*","*","*"
"=""2440014""","Area Cooperative Educational Services","=""2440314""","Wintergreen Interdistrict  Magnet School","Math","Non-ELL","*","36.6%","58.2%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELA","ELL","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","ELA","Non-ELL","*","37.8%","59.7%"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Math","ELL","*","*","*"
"=""0030011""","Ashford School District","=""0030111""","Ashford School","Math","Non-ELL","*","41.7%","58.1%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELA","ELL",6,"*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","ELA","Non-ELL",512,"54.9%","70.4%"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Math","ELL",7,"*","*"
"=""0040011""","Avon School District","=""0045111""","Avon Middle School","Math","Non-ELL",511,"65.4%","81.3%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","ELA","ELL","*","*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","ELA","Non-ELL","*","49.0%","69.6%"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Math","ELL",8,"*","*"
"=""0040011""","Avon School District","=""0040411""","Pine Grove School","Math","Non-ELL",98,"43.9%","69.8%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","ELA","Non-ELL",99,"56.6%","74.6%"
"=""0040011""","Avon School District","=""0040311""","Roaring Brook School","Math","Non-ELL",98,"44.9%","65.5%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELA","ELL",6,"*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","ELA","Non-ELL",508,"58.9%","76.9%"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Math","ELL",9,"*","*"
"=""0040011""","Avon School District","=""0040511""","Thompson Brook School","Math","Non-ELL",507,"55.0%","74.2%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","ELA","Non-ELL",132,"44.7%","69.6%"
"=""0050011""","Barkhamsted School District","=""0050111""","Barkhamsted Elementary School","Math","Non-ELL",132,"34.8%","66.2%"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","ELA","Non-ELL","*","*","*"
"=""0050011""","Barkhamsted School District","=""0050211""","Bridges at Barkhamsted Elementary School","Math","Non-ELL","*","*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELA","ELL",6,"*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","ELA","Non-ELL",654,"51.8%","70.7%"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Math","ELL",6,"*","*"
"=""0070011""","Berlin School District","=""0075111""","Catherine M. McGee Middle School","Math","Non-ELL",653,"43.2%","62.8%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","ELA","ELL","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","ELA","Non-ELL","*","57.7%","80.5%"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Math","ELL","*","*","*"
"=""0070011""","Berlin School District","=""0070411""","Emma Hart Willard School","Math","Non-ELL","*","51.8%","71.5%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELA","ELL","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","ELA","Non-ELL","*","45.0%","70.9%"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Math","ELL","*","*","*"
"=""0070011""","Berlin School District","=""0070511""","Mary E. Griswold School","Math","Non-ELL","*","35.6%","66.9%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELA","ELL","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","ELA","Non-ELL","*","61.4%","84.6%"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Math","ELL","*","*","*"
"=""0070011""","Berlin School District","=""0070111""","Richard D. Hubbard School","Math","Non-ELL","*","65.9%","87.2%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","ELA","Non-ELL",167,"49.7%","69.7%"
"=""0080011""","Bethany School District","=""0080111""","Bethany Community School","Math","Non-ELL",167,"55.7%","78.7%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELA","ELL",9,"*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","ELA","Non-ELL",604,"55.1%","73.0%"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Math","ELL",10,"*","*"
"=""0090011""","Bethel School District","=""0095111""","Bethel Middle School","Math","Non-ELL",603,"54.4%","74.2%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELA","ELL",12,"*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","ELA","Non-ELL",384,"46.9%","69.0%"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Math","ELL",14,"*","*"
"=""0090011""","Bethel School District","=""0090511""","Ralph M. T. Johnson School","Math","Non-ELL",382,"66.2%","89.1%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELA","ELL","*","*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","ELA","Non-ELL","*","34.2%","62.5%"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Math","ELL","*","*","*"
"=""0110011""","Bloomfield School District","=""0110711""","Carmen Arace Intermediate School","Math","Non-ELL","*","51.5%","75.2%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","ELA","Non-ELL",179,"34.6%","53.1%"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Math","ELL","*","*","*"
"=""0110011""","Bloomfield School District","=""0115211""","Carmen Arace Middle School","Math","Non-ELL","*","37.4%","55.5%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","ELA","ELL","*","*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","ELA","Non-ELL","*","50.6%","68.5%"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Math","ELL","*","*","*"
"=""0110011""","Bloomfield School District","=""0116311""","Global Experience Magnet School","Math","Non-ELL","*","30.4%","46.6%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","ELA","ELL","*","*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","ELA","Non-ELL","*","32.3%","61.4%"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Math","ELL","*","*","*"
"=""0110011""","Bloomfield School District","=""0110511""","Metacomet School","Math","Non-ELL","*","47.9%","78.3%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","ELA","Non-ELL",288,"55.9%","75.6%"
"=""0120011""","Bolton School District","=""0120111""","Bolton Center School","Math","Non-ELL",288,"50.7%","71.0%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","ELA","ELL","*","*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","ELA","Non-ELL","*","40.6%","61.3%"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Math","ELL","*","*","*"
"=""0130011""","Bozrah School District","=""0130111""","Fields Memorial School","Math","Non-ELL","*","47.2%","73.1%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","ELA","ELL",11,"*","*"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","ELA","Non-ELL",830,"40.8%","59.3%"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Math","ELL",14,"*","*"
"=""0140011""","Branford School District","=""0145111""","Francis Walsh Intermediate School","Math","Non-ELL",827,"40.1%","59.4%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","ELA","ELL","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","ELA","Non-ELL","*","43.5%","65.8%"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Math","ELL","*","*","*"
"=""0140011""","Branford School District","=""0141611""","John B. Sliney School","Math","Non-ELL","*","29.0%","65.7%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","ELA","ELL","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","ELA","Non-ELL","*","72.1%","93.4%"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Math","ELL","*","*","*"
"=""0140011""","Branford School District","=""0141511""","Mary R. Tisko School","Math","Non-ELL","*","73.8%","96.7%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","ELA","ELL","*","*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","ELA","Non-ELL","*","48.7%","71.1%"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Math","ELL","*","*","*"
"=""0140011""","Branford School District","=""0141411""","Mary T. Murphy School","Math","Non-ELL","*","37.3%","68.1%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","ELA","ELL",45,"40.0%","60.8%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","ELA","Non-ELL",377,"50.7%","69.8%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Math","ELL",45,"62.2%","79.3%"
"=""2850013""","Bridgeport Achievement First District","=""2850113""","Achievement First Bridgeport Academy","Math","Non-ELL",377,"59.2%","77.6%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","ELA","ELL",22,"13.6%","52.9%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","ELA","Non-ELL",194,"25.3%","50.6%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Math","ELL",22,"27.3%","55.0%"
"=""0150011""","Bridgeport School District","=""0150111""","Barnum School","Math","Non-ELL",194,"21.1%","43.5%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","ELA","ELL",9,"*","*"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","ELA","Non-ELL",99,"27.3%","52.5%"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Math","ELL",9,"*","*"
"=""0150011""","Bridgeport School District","=""0150211""","Beardsley School","Math","Non-ELL",99,"31.3%","53.8%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","ELA","ELL",32,"21.9%","45.3%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","ELA","Non-ELL",148,"41.2%","63.7%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Math","ELL",34,"38.2%","56.7%"
"=""0150011""","Bridgeport School District","=""0150311""","Black Rock School","Math","Non-ELL",148,"42.6%","64.8%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","ELA","ELL",66,"27.3%","51.4%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","ELA","Non-ELL",472,"34.3%","57.0%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Math","ELL",80,"32.5%","53.6%"
"=""0150011""","Bridgeport School District","=""0154011""","Blackham School","Math","Non-ELL",472,"30.3%","52.1%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","ELA","Non-ELL",23,"17.4%","37.3%"
"=""0150011""","Bridgeport School District","=""0159011""","Bridgeport Learning Center","Math","Non-ELL",23,"13.0%","32.1%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","ELA","ELL",20,"30.0%","62.4%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","ELA","Non-ELL",106,"32.1%","59.6%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Math","ELL",23,"34.8%","56.5%"
"=""0150011""","Bridgeport School District","=""0150411""","Bryant School","Math","Non-ELL",106,"20.8%","44.9%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","ELA","ELL",157,"24.2%","48.5%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","ELA","Non-ELL",349,"29.8%","54.3%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Math","ELL",211,"33.6%","50.6%"
"=""0150011""","Bridgeport School District","=""0151411""","Cesar Batalla School","Math","Non-ELL",349,"33.0%","56.4%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","ELA","ELL",8,"*","*"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","ELA","Non-ELL",178,"37.1%","59.7%"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Math","ELL",8,"*","*"
"=""0150011""","Bridgeport School District","=""0152111""","Classical Studies Academy","Math","Non-ELL",178,"30.9%","52.7%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","ELA","ELL",53,"41.5%","64.1%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","ELA","Non-ELL",219,"40.6%","68.2%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Math","ELL",56,"33.9%","57.9%"
"=""0150011""","Bridgeport School District","=""0150511""","Columbus School","Math","Non-ELL",219,"39.7%","62.8%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","ELA","ELL",9,"*","*"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","ELA","Non-ELL",135,"15.6%","34.4%"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Math","ELL",9,"*","*"
"=""0150011""","Bridgeport School District","=""0153911""","Cross School","Math","Non-ELL",134,"16.4%","35.2%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","ELA","ELL",43,"30.2%","62.0%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","ELA","Non-ELL",306,"26.8%","50.3%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Math","ELL",43,"25.6%","47.0%"
"=""0150011""","Bridgeport School District","=""0154211""","Curiale School","Math","Non-ELL",305,"25.9%","46.8%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","ELA","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","ELA","Non-ELL","*","15.4%","37.4%"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Math","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0154111""","Dunbar School","Math","Non-ELL","*","9.8%","25.9%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","ELA","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","ELA","Non-ELL","*","29.1%","53.7%"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Math","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0150711""","Edison School","Math","Non-ELL","*","30.2%","54.8%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","ELA","ELL",45,"28.9%","59.0%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","ELA","Non-ELL",281,"35.6%","59.2%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Math","ELL",53,"34.0%","52.3%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Math","Non-ELL",281,"32.7%","57.5%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","ELA","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","ELA","Non-ELL","*","29.1%","59.9%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Math","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Math","Non-ELL","*","30.4%","50.4%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","ELA","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","ELA","Non-ELL","*","26.4%","52.6%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Math","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Math","Non-ELL","*","16.1%","45.0%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","ELA","Non-ELL",213,"38.5%","60.1%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Math","Non-ELL",213,"24.4%","44.5%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","ELA","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","ELA","Non-ELL","*","28.0%","54.1%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Math","ELL",6,"*","*"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Math","Non-ELL",158,"24.7%","49.1%"
