"school_code","district_code","district","school","subject","free_reduced_price_meal_eligibility_2_level_","total_numberwith_scored_tests","count","_","count_1","_1","count_2","_2","count_3","_3","count_4","_4","averagescore"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","Y","30","*","*","7","23.3","17","56.7","*","*","*","*","529"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","Y","30","*","*","13","43.3","14","46.7","*","*","*","*","537"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","ELA","Y","72","23","31.9","18","25.0","31","43.1","0","0.0","31","43.1","457"
"0026111","0020011","Ansonia School District","Ansonia High School","ELA","N","62","*","*","17","27.4","31","50.0","*","*","*","*","503"
"0026111","0020011","Ansonia School District","Ansonia High School","Math","Y","72","36","50.0","27","37.5","9","12.5","0","0.0","9","12.5","427"
"0026111","0020011","Ansonia School District","Ansonia High School","Math","N","62","*","*","22","35.5","20","32.3","*","*","*","*","477"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","ELA","Y","12","*","*","*","*","*","*","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","ELA","N","229","*","*","*","*","*","*","*","*","*","*","614"
"0046111","0040011","Avon School District","Avon High School","Math","Y","13","*","*","*","*","*","*","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","Math","N","229","*","*","*","*","*","*","*","*","*","*","612"
"0076111","0070011","Berlin School District","Berlin High School","ELA","Y","26","*","*","6","23.1","17","65.4","*","*","*","*","510"
