"school_code","district_code","district","school","subject","high_needs_f_r_ell_or_swd_","total_numberwith_scored_tests","count","_","count_1","_1","count_2","_2","count_3","_3","count_4","_4","averagescore"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","Y","30","*","*","7","23.3","17","56.7","*","*","*","*","529"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","Y","30","*","*","13","43.3","14","46.7","*","*","*","*","537"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","ELA","Y","76","26","34.2","18","23.7","32","42.1","0","0.0","32","42.1","455"
"0026111","0020011","Ansonia School District","Ansonia High School","ELA","N","58","*","*","17","29.3","30","51.7","*","*","*","*","509"
"0026111","0020011","Ansonia School District","Ansonia High School","Math","Y","76","39","51.3","27","35.5","10","13.2","0","0.0","10","13.2","426"
"0026111","0020011","Ansonia School District","Ansonia High School","Math","N","58","*","*","22","37.9","19","32.8","*","*","*","*","482"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","ELA","Y","18","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Math","Y","16","*","*","*","*","*","*","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","ELA","Y","30","*","*","8","26.7","12","40.0","*","*","*","*","519"
"0046111","0040011","Avon School District","Avon High School","ELA","N","211","*","*","*","*","90","42.7","110","52.1","200","94.8","621"
"0046111","0040011","Avon School District","Avon High School","Math","Y","31","*","*","11","35.5","8","25.8","*","*","*","*","481"
"0046111","0040011","Avon School District","Avon High School","Math","N","211","*","*","33","15.6","92","43.6","*","*","*","*","622"
"0076111","0070011","Berlin School District","Berlin High School","ELA","Y","43","*","*","10","23.3","22","51.2","*","*","*","*","484"
"0076111","0070011","Berlin School District","Berlin High School","ELA","N","186","*","*","28","15.1","124","66.7","*","*","*","*","544"
