"school_code","district_code","district","school","subject","special_education","total_numberwith_scored_tests","count","_","count_1","_1","count_2","_2","count_3","_3","count_4","_4","averagescore"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","N","*","0","0.0","*","*","*","*","*","*","*","*","*"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","N","44","6","13.6","*","*","28","63.6","*","*","*","*","515"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","N","44","11","25.0","23","52.3","*","*","*","*","10","22.7","470"
"0026111","0020011","Ansonia School District","Ansonia High School","ELA","N","121","*","*","*","*","*","*","*","*","*","*","488"
"0026111","0020011","Ansonia School District","Ansonia High School","ELA","Y","13","*","*","*","*","*","*","*","*","*","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","Math","N","121","*","*","*","*","*","*","*","*","*","*","457"
"0026111","0020011","Ansonia School District","Ansonia High School","Math","Y","13","*","*","*","*","*","*","*","*","*","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","ELA","Y","18","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Math","Y","16","*","*","*","*","*","*","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","ELA","N","220","*","*","*","*","94","42.7","*","*","*","*","616"
"0046111","0040011","Avon School District","Avon High School","ELA","Y","21","*","*","*","*","8","38.1","*","*","*","*","525"
"0046111","0040011","Avon School District","Avon High School","Math","N","221","*","*","38","17.2","94","42.5","*","*","*","*","615"
"0046111","0040011","Avon School District","Avon High School","Math","Y","21","*","*","6","28.6","6","28.6","*","*","*","*","486"
"0076111","0070011","Berlin School District","Berlin High School","ELA","N","208","12","5.8","32","15.4","140","67.3","24","11.5","164","78.8","541"
"0076111","0070011","Berlin School District","Berlin High School","ELA","Y","21","9","42.9","6","28.6","6","28.6","0","0.0","6","28.6","445"
