"school_code","district_code","district_name","school_name","2013_14","2014_15","2015_16"
2880113,2880013,"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.",57.1,"",73.2
2795113,2790013,"Amistad Academy District","Amistad Academy",74.5,81.6,69.4
10111,10011,"Andover School District","Andover Elementary School",100.0,97.0,95.0
26111,20011,"Ansonia School District","Ansonia High School",97.4,97.6,100.0
25111,20011,"Ansonia School District","Ansonia Middle School",100.0,96.2,100.0
20311,20011,"Ansonia School District","Mead School",100.0,98.7,100.0
20111,20011,"Ansonia School District","P.A.C.E. (Positive And Creative Education)","","",100.0
20811,20011,"Ansonia School District","Prendergast School",100.0,100.0,100.0
2449614,2440014,"Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders",100.0,100.0,75.0
2449414,2440014,"Area Cooperative Educational Services","Mill Road School",100.0,100.0,100.0
2445114,2440014,"Area Cooperative Educational Services","Thomas Edison Magnet Middle School",100.0,100.0,100.0
2449514,2440014,"Area Cooperative Educational Services","Village School",100.0,100.0,100.0
2449214,2440014,"Area Cooperative Educational Services","Whitney High School East",100.0,100.0,100.0
2449114,2440014,"Area Cooperative Educational Services","Whitney High School North",100.0,100.0,100.0
2449314,2440014,"Area Cooperative Educational Services","Whitney High School West",100.0,100.0,100.0
2440314,2440014,"Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School",100.0,100.0,100.0
30111,30011,"Ashford School District","Ashford School",100.0,95.7,100.0
46111,40011,"Avon School District","Avon High School",99.7,100.0,100.0
45111,40011,"Avon School District","Avon Middle School",100.0,97.4,100.0
40411,40011,"Avon School District","Pine Grove School",100.0,98.7,100.0
40311,40011,"Avon School District","Roaring Brook School",100.0,100.0,100.0
40511,40011,"Avon School District","Thompson Brook School",100.0,100.0,100.0
50111,50011,"Barkhamsted School District","Barkhamsted Elementary School",100.0,100.0,100.0
76111,70011,"Berlin School District","Berlin High School",100.0,100.0,100.0
75111,70011,"Berlin School District","Catherine M. McGee Middle School",100.0,96.1,96.1
70411,70011,"Berlin School District","Emma Hart Willard School",98.7,100.0,100.0
70511,70011,"Berlin School District","Mary E. Griswold School",100.0,100.0,98.6
70111,70011,"Berlin School District","Richard D. Hubbard School",100.0,88.9,100.0
80111,80011,"Bethany School District","Bethany Community School",100.0,100.0,100.0
