"school_code","district_code","district","school","no","yes","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","419","21","440"
"2795113","2790013","Amistad Academy District","Amistad Academy","656","88","744"
"0010111","0010011","Andover School District","Andover Elementary School","*","*","336"
"0026111","0020011","Ansonia School District","Ansonia High School","758","19","777"
"0025111","0020011","Ansonia School District","Ansonia Middle School","463","14","477"
"0020311","0020011","Ansonia School District","Mead School","645","15","660"
"0020811","0020011","Ansonia School District","Prendergast School","780","31","811"
"2446114","2440014","Area Cooperative Educational Services","Collaborative Alternative Magnet School","110","0","110"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","148","0","148"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","691","42","733"
"2449514","2440014","Area Cooperative Educational Services","Village School","176","0","176"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","123","0","123"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","*","*","100"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","56","0","56"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","*","*","630"
"0030111","0030011","Ashford School District","Ashford School","465","10","475"
"0046111","0040011","Avon School District","Avon High School","*","*","1079"
"0045111","0040011","Avon School District","Avon Middle School","*","*","601"
"0040411","0040011","Avon School District","Pine Grove School","629","26","655"
"0040311","0040011","Avon School District","Roaring Brook School","669","13","682"
"0040511","0040011","Avon School District","Thompson Brook School","*","*","568"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","*","*","345"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","22","0","22"
"0076111","0070011","Berlin School District","Berlin High School","1012","10","1022"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","723","10","733"
"0070411","0070011","Berlin School District","Emma Hart Willard School","572","16","588"
"0070511","0070011","Berlin School District","Mary E. Griswold School","552","12","564"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","238","14","252"
"0080111","0080011","Bethany School District","Bethany Community School","515","0","515"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","395","25","420"
"0096111","0090011","Bethel School District","Bethel High School","979","8","987"
"0095111","0090011","Bethel School District","Bethel Middle School","683","20","703"
"0090111","0090011","Bethel School District","Frank A. Berry School","469","28","497"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","421","14","435"
"0116111","0110011","Bloomfield School District","Bloomfield High School","629","0","629"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","294","0","294"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","*","*","314"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","248","6","254"
"0110611","0110011","Bloomfield School District","Laurel School","255","9","264"
"0110511","0110011","Bloomfield School District","Metacomet School","182","0","182"
"0116211","0110011","Bloomfield School District","The Big Picture High School","88","0","88"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","254","0","254"
