"school_code","district_code","district","school","female","male","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","199","241","440"
"2795113","2790013","Amistad Academy District","Amistad Academy","378","366","744"
"0010111","0010011","Andover School District","Andover Elementary School","143","193","336"
"0026111","0020011","Ansonia School District","Ansonia High School","383","394","777"
"0025111","0020011","Ansonia School District","Ansonia Middle School","226","251","477"
"0020311","0020011","Ansonia School District","Mead School","311","349","660"
"0020811","0020011","Ansonia School District","Prendergast School","382","429","811"
"2446114","2440014","Area Cooperative Educational Services","Collaborative Alternative Magnet School","47","63","110"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","21","127","148"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","361","372","733"
"2449514","2440014","Area Cooperative Educational Services","Village School","49","127","176"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","26","97","123"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","22","78","100"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","14","42","56"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","331","299","630"
"0030111","0030011","Ashford School District","Ashford School","219","256","475"
"0046111","0040011","Avon School District","Avon High School","529","550","1079"
"0045111","0040011","Avon School District","Avon Middle School","321","280","601"
"0040411","0040011","Avon School District","Pine Grove School","313","342","655"
"0040311","0040011","Avon School District","Roaring Brook School","351","331","682"
"0040511","0040011","Avon School District","Thompson Brook School","265","303","568"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","143","202","345"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","8","14","22"
"0076111","0070011","Berlin School District","Berlin High School","513","509","1022"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","340","393","733"
"0070411","0070011","Berlin School District","Emma Hart Willard School","252","336","588"
"0070511","0070011","Berlin School District","Mary E. Griswold School","272","292","564"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","111","141","252"
"0080111","0080011","Bethany School District","Bethany Community School","239","276","515"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","190","230","420"
"0096111","0090011","Bethel School District","Bethel High School","506","481","987"
"0095111","0090011","Bethel School District","Bethel Middle School","341","362","703"
"0090111","0090011","Bethel School District","Frank A. Berry School","235","262","497"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","215","220","435"
"0116111","0110011","Bloomfield School District","Bloomfield High School","290","339","629"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","137","157","294"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","160","154","314"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","116","138","254"
"0110611","0110011","Bloomfield School District","Laurel School","121","143","264"
"0110511","0110011","Bloomfield School District","Metacomet School","78","104","182"
"0116211","0110011","Bloomfield School District","The Big Picture High School","52","36","88"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","120","134","254"
"0120111","0120011","Bolton School District","Bolton Center School","296","287","583"
"0126111","0120011","Bolton School District","Bolton High School","164","133","297"
"0130111","0130011","Bozrah School District","Fields Memorial School","137","119","256"
"0146111","0140011","Branford School District","Branford High School","582","527","1109"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","532","581","1113"
"0148011","0140011","Branford School District","Indian Neck School","22","36","58"
"0141611","0140011","Branford School District","John B. Sliney School","185","176","361"
"0141511","0140011","Branford School District","Mary R. Tisko School","215","213","428"
"0141411","0140011","Branford School District","Mary T. Murphy School","217","216","433"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","125","113","238"
"0150111","0150011","Bridgeport School District","Barnum School","303","328","631"
"0156111","0150011","Bridgeport School District","Bassick High School","525","628","1153"
"0150211","0150011","Bridgeport School District","Beardsley School","183","192","375"
"0150311","0150011","Bridgeport School District","Black Rock School","139","118","257"
"0154011","0150011","Bridgeport School District","Blackham School","503","566","1069"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","9","44","53"
"0150411","0150011","Bridgeport School District","Bryant School","193","208","401"
"0156211","0150011","Bridgeport School District","Central High School","1110","1107","2217"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","515","546","1061"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","178","150","328"
"0150511","0150011","Bridgeport School District","Columbus School","354","328","682"
"0153911","0150011","Bridgeport School District","Cross School","178","202","380"
"0154211","0150011","Bridgeport School District","Curiale School","278","301","579"
"0154111","0150011","Bridgeport School District","Dunbar School","178","146","324"
"0150711","0150011","Bridgeport School District","Edison School","132","134","266"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","386","453","839"
"0151111","0150011","Bridgeport School District","Hall School","118","159","277"
"0151211","0150011","Bridgeport School District","Hallen School","149","191","340"
"0156311","0150011","Bridgeport School District","Harding High School","774","771","1545"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","237","195","432"
"0151311","0150011","Bridgeport School District","Hooker School","198","263","461"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","306","314","620"
"0151911","0150011","Bridgeport School District","Longfellow School","208","214","422"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","439","428","867"
"0152011","0150011","Bridgeport School District","Madison School","240","322","562"
"0159511","0150011","Bridgeport School District","Make The Grade","23","31","54"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","250","201","451"
"0159411","0150011","Bridgeport School District","New Start Program","22","24","46"
"0158011","0150011","Bridgeport School District","Parent-Children Program","*","0","*"
"0159211","0150011","Bridgeport School District","Park City Academy","*","*","17"
"0151711","0150011","Bridgeport School District","Park City Magnet School","254","258","512"
"0152511","0150011","Bridgeport School District","Read School","395","468","863"
"0152611","0150011","Bridgeport School District","Roosevelt School","242","284","526"
"0154411","0150011","Bridgeport School District","Skane Center","109","134","243"
"0159111","0150011","Bridgeport School District","The University School","*","*","28"
"0153011","0150011","Bridgeport School District","Waltersville School","251","271","522"
"0153611","0150011","Bridgeport School District","Winthrop School","361","363","724"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","*","*","19"
"0176111","0170011","Bristol School District","Bristol Central High School","660","704","1364"
"0176211","0170011","Bristol School District","Bristol Eastern High School","656","649","1305"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","442","468","910"
"0170711","0170011","Bristol School District","Clara T. O'Connell School","173","202","375"
"0170111","0170011","Bristol School District","Clarence A. Bingham School","107","129","236"
"0179211","0170011","Bristol School District","Community/Vocational Program","*","*","13"
"0170311","0170011","Bristol School District","Edgewood School","171","184","355"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","250","261","511"
"0170511","0170011","Bristol School District","Greene-Hills School","174","188","362"
"0171911","0170011","Bristol School District","Ivy Drive School","168","191","359"
