"school_code","district_code","district","school","free","non_subsidized","reduced","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","762","0","0","762"
"2795113","2790013","Amistad Academy District","Amistad Academy","590","167","100","857"
"0010111","0010011","Andover School District","Andover Elementary School","25","282","7","314"
"0026111","0020011","Ansonia School District","Ansonia High School","304","307","84","695"
"0025111","0020011","Ansonia School District","Ansonia Middle School","209","226","37","472"
"0020311","0020011","Ansonia School District","Mead School","339","199","72","610"
"0020811","0020011","Ansonia School District","Prendergast School","387","263","88","738"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","*","21","*","31"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","123","26","11","160"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","228","463","30","721"
"2449514","2440014","Area Cooperative Educational Services","Village School","53","85","10","148"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","85","23","6","114"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","77","10","7","94"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","37","*","*","47"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","181","395","64","640"
"0030111","0030011","Ashford School District","Ashford School","111","339","31","481"
"0046111","0040011","Avon School District","Avon High School","44","1051","17","1112"
"0045111","0040011","Avon School District","Avon Middle School","27","536","9","572"
"0040411","0040011","Avon School District","Pine Grove School","29","589","13","631"
"0040311","0040011","Avon School District","Roaring Brook School","23","561","6","590"
"0040511","0040011","Avon School District","Thompson Brook School","22","560","12","594"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","*","320","*","338"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","*","*","0","19"
"0076111","0070011","Berlin School District","Berlin High School","86","868","22","976"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","74","638","18","730"
"0070411","0070011","Berlin School District","Emma Hart Willard School","60","423","9","492"
"0070511","0070011","Berlin School District","Mary E. Griswold School","36","530","11","577"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","16","219","6","241"
"0080111","0080011","Bethany School District","Bethany Community School","*","466","*","491"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","53","318","18","389"
"0096111","0090011","Bethel School District","Bethel High School","99","799","51","949"
"0095111","0090011","Bethel School District","Bethel Middle School","92","566","35","693"
"0090111","0090011","Bethel School District","Frank A. Berry School","41","445","7","493"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","57","366","24","447"
"0116111","0110011","Bloomfield School District","Bloomfield High School","232","295","76","603"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","119","107","37","263"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","135","123","28","286"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","146","144","32","322"
"0110511","0110011","Bloomfield School District","Metacomet School","117","109","25","251"
"0116211","0110011","Bloomfield School District","The Big Picture High School","36","61","8","105"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","41","266","14","321"
"0120111","0120011","Bolton School District","Bolton Center School","42","500","7","549"
"0126111","0120011","Bolton School District","Bolton High School","33","302","8","343"
"0130111","0130011","Bozrah School District","Fields Memorial School","19","203","12","234"
"0146111","0140011","Branford School District","Branford High School","90","928","46","1064"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","152","807","61","1020"
"0148011","0140011","Branford School District","Indian Neck School","0","46","0","46"
"0141611","0140011","Branford School District","John B. Sliney School","70","277","18","365"
"0141511","0140011","Branford School District","Mary R. Tisko School","34","342","8","384"
"0141411","0140011","Branford School District","Mary T. Murphy School","82","329","28","439"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","378","91","74","543"
"0150111","0150011","Bridgeport School District","Barnum School","654","*","*","659"
"0156111","0150011","Bridgeport School District","Bassick High School","1026","7","40","1073"
"0150211","0150011","Bridgeport School District","Beardsley School","384","*","*","388"
"0150311","0150011","Bridgeport School District","Black Rock School","*","*","0","305"
"0154011","0150011","Bridgeport School District","Blackham School","1046","10","10","1066"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","*","0","*","51"
"0150411","0150011","Bridgeport School District","Bryant School","413","0","0","413"
"0156211","0150011","Bridgeport School District","Central High School","2007","68","106","2181"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","1137","*","*","1146"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","287","*","*","290"
"0150511","0150011","Bridgeport School District","Columbus School","520","*","*","523"
"0153911","0150011","Bridgeport School District","Cross School","426","*","*","431"
"0154211","0150011","Bridgeport School District","Curiale School","607","*","*","615"
"0154111","0150011","Bridgeport School District","Dunbar School","*","0","*","344"
"0150711","0150011","Bridgeport School District","Edison School","251","0","0","251"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","842","*","*","857"
"0151111","0150011","Bridgeport School District","Hall School","*","0","*","310"
"0151211","0150011","Bridgeport School District","Hallen School","*","*","0","335"
"0156311","0150011","Bridgeport School District","Harding High School","1253","12","44","1309"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","397","26","6","429"
"0151311","0150011","Bridgeport School District","Hooker School","403","*","*","416"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","*","*","0","312"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","665","*","*","670"
"0151911","0150011","Bridgeport School District","Longfellow School","446","0","8","454"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","*","0","*","897"
"0152011","0150011","Bridgeport School District","Madison School","510","0","0","510"
"0159511","0150011","Bridgeport School District","Make The Grade","39","0","0","39"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","467","10","7","484"
"0159211","0150011","Bridgeport School District","Park City Academy","*","0","0","*"
"0151711","0150011","Bridgeport School District","Park City Magnet School","503","10","10","523"
"0152511","0150011","Bridgeport School District","Read School","844","0","6","850"
"0152611","0150011","Bridgeport School District","Roosevelt School","*","0","*","534"
"0154411","0150011","Bridgeport School District","Skane Center","229","0","0","229"
"0153011","0150011","Bridgeport School District","Waltersville School","468","*","*","483"
"0153611","0150011","Bridgeport School District","Winthrop School","722","*","*","729"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","10","*","*","17"
"0176111","0170011","Bristol School District","Bristol Central High School","425","802","90","1317"
"0176211","0170011","Bristol School District","Bristol Eastern High School","320","898","90","1308"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","298","462","57","817"
"0170711","0170011","Bristol School District","Clara T. O'Connell School","207","119","22","348"
"0179211","0170011","Bristol School District","Community/Vocational Program","*","*","0","15"
"0170311","0170011","Bristol School District","Edgewood School","142","242","8","392"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","207","319","34","560"
"0170511","0170011","Bristol School District","Greene-Hills School","106","210","21","337"
"0171911","0170011","Bristol School District","Ivy Drive School","125","285","13","423"
"0170611","0170011","Bristol School District","John J. Jennings School","76","296","15","387"
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","173","294","45","512"
"0171711","0170011","Bristol School District","Mountain View School","91","264","15","370"
"0175211","0170011","Bristol School District","Northeast Middle School","133","390","37","560"
"0171111","0170011","Bristol School District","South Side School","204","354","35","593"
"0171211","0170011","Bristol School District","Stafford School","183","285","25","493"
"0186111","0180011","Brookfield School District","Brookfield High School","43","906","17","966"
"0180311","0180011","Brookfield School District","Center Elementary School","18","382","9","409"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","33","536","22","591"
"0185311","0180011","Brookfield School District","Whisconier Middle School","54","792","25","871"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","103","415","16","534"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","104","271","21","396"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","6","80","0","86"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","50","233","15","298"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","28","179","10","217"
"0236111","0230011","Canton School District","Canton High School","19","492","11","522"
"0230311","0230011","Canton School District","Canton Intermediate School","23","375","10","408"
"0235111","0230011","Canton School District","Canton Middle School","*","235","*","258"
"0230211","0230011","Canton School District","Cherry Brook Primary School","40","497","13","550"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","138","210","42","390"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","116","141","21","278"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","38","98","14","150"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","*","19","*","24"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","65","184","10","259"
"2416314","2410014","Capitol Region Education Council","Great Path Academy at MCC","106","118","22","246"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","173","203","24","400"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","*","*","0","*"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","112","179","20","311"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","39","*","*","47"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","*","*","0","8"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","222","399","98","719"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","123","199","28","350"
"2410514","2410014","Capitol Region Education Council","Museum Academy","90","151","30","271"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","210","133","46","389"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","121","147","16","284"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","*","*","0","58"
"2419314","2410014","Capitol Region Education Council","River Street School","7","140","0","147"
"2419114","2410014","Capitol Region Education Council","Soundbridge","*","*","0","97"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","251","366","67","684"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","178","202","61","441"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","36","139","7","182"
"0250111","0250011","Cheshire School District","Chapman School","15","269","10","294"
