"school_code","district_code","district","school","2011_12","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","762","762"
"2795113","2790013","Amistad Academy District","Amistad Academy","857","857"
"0010111","0010011","Andover School District","Andover Elementary School","314","314"
"0026111","0020011","Ansonia School District","Ansonia High School","695","695"
"0025111","0020011","Ansonia School District","Ansonia Middle School","472","472"
"0020311","0020011","Ansonia School District","Mead School","610","610"
"0020811","0020011","Ansonia School District","Prendergast School","738","738"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","31","31"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","160","160"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","721","721"
"2449514","2440014","Area Cooperative Educational Services","Village School","148","148"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","114","114"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","94","94"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","47","47"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","640","640"
"0030111","0030011","Ashford School District","Ashford School","481","481"
"0046111","0040011","Avon School District","Avon High School","1112","1112"
"0045111","0040011","Avon School District","Avon Middle School","572","572"
"0040411","0040011","Avon School District","Pine Grove School","631","631"
"0040311","0040011","Avon School District","Roaring Brook School","590","590"
"0040511","0040011","Avon School District","Thompson Brook School","594","594"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","338","338"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","19","19"
"0076111","0070011","Berlin School District","Berlin High School","976","976"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","730","730"
"0070411","0070011","Berlin School District","Emma Hart Willard School","492","492"
"0070511","0070011","Berlin School District","Mary E. Griswold School","577","577"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","241","241"
"0080111","0080011","Bethany School District","Bethany Community School","491","491"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","389","389"
"0096111","0090011","Bethel School District","Bethel High School","949","949"
"0095111","0090011","Bethel School District","Bethel Middle School","693","693"
"0090111","0090011","Bethel School District","Frank A. Berry School","493","493"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","447","447"
"0116111","0110011","Bloomfield School District","Bloomfield High School","603","603"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","263","263"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","286","286"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","322","322"
"0110511","0110011","Bloomfield School District","Metacomet School","251","251"
"0116211","0110011","Bloomfield School District","The Big Picture High School","105","105"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","321","321"
"0120111","0120011","Bolton School District","Bolton Center School","549","549"
"0126111","0120011","Bolton School District","Bolton High School","343","343"
"0130111","0130011","Bozrah School District","Fields Memorial School","234","234"
"0146111","0140011","Branford School District","Branford High School","1064","1064"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","1020","1020"
"0148011","0140011","Branford School District","Indian Neck School","46","46"
"0141611","0140011","Branford School District","John B. Sliney School","365","365"
"0141511","0140011","Branford School District","Mary R. Tisko School","384","384"
"0141411","0140011","Branford School District","Mary T. Murphy School","439","439"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","543","543"
"0150111","0150011","Bridgeport School District","Barnum School","659","659"
"0156111","0150011","Bridgeport School District","Bassick High School","1073","1073"
"0150211","0150011","Bridgeport School District","Beardsley School","388","388"
"0150311","0150011","Bridgeport School District","Black Rock School","305","305"
"0154011","0150011","Bridgeport School District","Blackham School","1066","1066"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","51","51"
"0150411","0150011","Bridgeport School District","Bryant School","413","413"
"0156211","0150011","Bridgeport School District","Central High School","2181","2181"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","1146","1146"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","290","290"
"0150511","0150011","Bridgeport School District","Columbus School","523","523"
"0153911","0150011","Bridgeport School District","Cross School","431","431"
"0154211","0150011","Bridgeport School District","Curiale School","615","615"
"0154111","0150011","Bridgeport School District","Dunbar School","344","344"
"0150711","0150011","Bridgeport School District","Edison School","251","251"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","857","857"
"0151111","0150011","Bridgeport School District","Hall School","310","310"
"0151211","0150011","Bridgeport School District","Hallen School","335","335"
"0156311","0150011","Bridgeport School District","Harding High School","1309","1309"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","429","429"
"0151311","0150011","Bridgeport School District","Hooker School","416","416"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","312","312"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","670","670"
"0151911","0150011","Bridgeport School District","Longfellow School","454","454"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","897","897"
"0152011","0150011","Bridgeport School District","Madison School","510","510"
"0159511","0150011","Bridgeport School District","Make The Grade","39","39"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","484","484"
"0159211","0150011","Bridgeport School District","Park City Academy","*","*"
"0151711","0150011","Bridgeport School District","Park City Magnet School","523","523"
"0152511","0150011","Bridgeport School District","Read School","850","850"
"0152611","0150011","Bridgeport School District","Roosevelt School","534","534"
"0154411","0150011","Bridgeport School District","Skane Center","229","229"
"0153011","0150011","Bridgeport School District","Waltersville School","483","483"
"0153611","0150011","Bridgeport School District","Winthrop School","729","729"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","17","17"
"0176111","0170011","Bristol School District","Bristol Central High School","1317","1317"
"0176211","0170011","Bristol School District","Bristol Eastern High School","1308","1308"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","817","817"
"0170711","0170011","Bristol School District","Clara T. O'Connell School","348","348"
"0179211","0170011","Bristol School District","Community/Vocational Program","15","15"
"0170311","0170011","Bristol School District","Edgewood School","392","392"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","560","560"
"0170511","0170011","Bristol School District","Greene-Hills School","337","337"
"0171911","0170011","Bristol School District","Ivy Drive School","423","423"
"0170611","0170011","Bristol School District","John J. Jennings School","387","387"
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","512","512"
"0171711","0170011","Bristol School District","Mountain View School","370","370"
"0175211","0170011","Bristol School District","Northeast Middle School","560","560"
"0171111","0170011","Bristol School District","South Side School","593","593"
"0171211","0170011","Bristol School District","Stafford School","493","493"
"0186111","0180011","Brookfield School District","Brookfield High School","966","966"
"0180311","0180011","Brookfield School District","Center Elementary School","409","409"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","591","591"
"0185311","0180011","Brookfield School District","Whisconier Middle School","871","871"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","534","534"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","396","396"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","86","86"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","298","298"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","217","217"
"0236111","0230011","Canton School District","Canton High School","522","522"
"0230311","0230011","Canton School District","Canton Intermediate School","408","408"
"0235111","0230011","Canton School District","Canton Middle School","258","258"
"0230211","0230011","Canton School District","Cherry Brook Primary School","550","550"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","390","390"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","278","278"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","150","150"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","24","24"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","259","259"
"2416314","2410014","Capitol Region Education Council","Great Path Academy at MCC","246","246"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","400","400"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","*","*"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","311","311"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","47","47"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","8","8"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","719","719"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","350","350"
"2410514","2410014","Capitol Region Education Council","Museum Academy","271","271"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","389","389"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","284","284"
