"school_code","district_code","district","school","american_indian_or_alaska_native","asian","black_or_african_american","hispanic_latino_of_any_race","native_hawaiian_or_other_pacific_islander","two_or_more_races","white","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","*","*","704","108","*","9","0","824"
"2795113","2790013","Amistad Academy District","Amistad Academy","*","0","554","316","0","15","*","904"
"0010111","0010011","Andover School District","Andover Elementary School","0","*","*","9","0","10","289","314"
"0026111","0020011","Ansonia School District","Ansonia High School","*","9","145","138","*","*","334","631"
"0025111","0020011","Ansonia School District","Ansonia Middle School","*","*","104","134","*","*","215","463"
"0020311","0020011","Ansonia School District","Mead School","*","*","114","207","9","10","270","619"
"0020811","0020011","Ansonia School District","Prendergast School","*","13","135","193","*","11","337","699"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","0","*","*","*","0","*","24","36"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","*","*","58","46","0","12","29","147"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","*","26","110","282","0","*","286","722"
"2449514","2440014","Area Cooperative Educational Services","Village School","*","*","32","32","0","0","76","149"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","*","*","38","35","0","*","34","114"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","0","0","45","27","0","*","*","89"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","0","*","10","8","0","*","25","45"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","*","*","263","115","0","32","188","630"
"0030111","0030011","Ashford School District","Ashford School","0","*","*","24","0","8","397","439"
"0046111","0040011","Avon School District","Avon High School","*","95","34","58","*","27","865","1083"
"0045111","0040011","Avon School District","Avon Middle School","*","58","*","35","0","22","478","611"
"0040411","0040011","Avon School District","Pine Grove School","*","74","26","36","0","*","438","595"
"0040311","0040011","Avon School District","Roaring Brook School","*","52","24","35","0","*","437","569"
"0040511","0040011","Avon School District","Thompson Brook School","*","55","18","31","0","*","429","548"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","0","*","*","6","0","*","315","328"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","0","0","0","0","0","0","21","21"
"0076111","0070011","Berlin School District","Berlin High School","0","35","14","71","*","*","829","962"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","*","24","24","52","0","*","593","712"
"0070411","0070011","Berlin School District","Emma Hart Willard School","0","21","6","40","0","17","417","501"
"0070511","0070011","Berlin School District","Mary E. Griswold School","*","11","*","44","0","22","483","567"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","0","0","*","22","0","*","198","232"
"0080111","0080011","Bethany School District","Bethany Community School","*","41","9","7","0","*","414","473"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","0","19","*","71","0","*","293","392"
"0096111","0090011","Bethel School District","Bethel High School","*","62","29","119","0","*","730","959"
"0095111","0090011","Bethel School District","Bethel Middle School","0","47","14","84","0","17","522","684"
"0090111","0090011","Bethel School District","Frank A. Berry School","0","32","15","47","*","*","395","497"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","0","37","7","67","0","17","315","443"
"0116111","0110011","Bloomfield School District","Bloomfield High School","*","*","469","46","0","*","18","541"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","0","*","178","35","0","*","*","220"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","0","*","224","28","0","*","*","261"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","0","*","116","16","0","*","46","182"
"0110611","0110011","Bloomfield School District","Laurel School","0","*","273","29","*","13","16","335"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","0","0","10","0","0","0","0","10"
"0110511","0110011","Bloomfield School District","Metacomet School","*","9","199","20","0","*","6","237"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","*","*","96","26","0","19","161","322"
"0120111","0120011","Bolton School District","Bolton Center School","0","15","31","21","0","6","460","533"
"0126111","0120011","Bolton School District","Bolton High School","0","7","6","13","0","13","320","359"
"0130111","0130011","Bozrah School District","Fields Memorial School","*","*","13","16","0","0","207","241"
"0146111","0140011","Branford School District","Branford High School","*","79","41","82","0","*","827","1049"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","*","66","29","74","0","*","796","989"
"0148011","0140011","Branford School District","Indian Neck School","0","*","*","*","0","*","42","47"
"0141611","0140011","Branford School District","John B. Sliney School","*","19","*","53","0","11","280","371"
"0141511","0140011","Branford School District","Mary R. Tisko School","0","22","*","19","0","*","325","373"
"0141411","0140011","Branford School District","Mary T. Murphy School","*","74","17","38","0","*","287","429"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","*","*","386","300","0","*","6","702"
"0150111","0150011","Bridgeport School District","Barnum School","0","*","189","417","0","*","15","625"
"0156111","0150011","Bridgeport School District","Bassick High School","*","49","534","533","*","*","55","1177"
"0150211","0150011","Bridgeport School District","Beardsley School","*","6","143","210","0","*","14","377"
"0150311","0150011","Bridgeport School District","Black Rock School","0","*","80","161","0","*","100","348"
"0154011","0150011","Bridgeport School District","Blackham School","7","53","372","514","*","*","179","1130"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","0","0","27","18","0","0","7","52"
"0150411","0150011","Bridgeport School District","Bryant School","*","27","154","198","0","*","26","412"
"0156211","0150011","Bridgeport School District","Central High School","49","82","903","870","*","*","220","2137"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","*","44","222","805","*","*","40","1115"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","*","9","195","91","*","0","12","310"
"0150511","0150011","Bridgeport School District","Columbus School","0","*","302","534","0","*","37","877"
"0153911","0150011","Bridgeport School District","Cross School","*","*","245","158","0","0","13","420"
"0154211","0150011","Bridgeport School District","Curiale School","*","33","353","345","0","*","35","773"
"0154111","0150011","Bridgeport School District","Dunbar School","0","*","192","107","0","*","9","313"
"0150711","0150011","Bridgeport School District","Edison School","0","*","130","89","0","*","20","244"
