"school_code","district_code","district","school","2012_13","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","824","824"
"2795113","2790013","Amistad Academy District","Amistad Academy","904","904"
"0010111","0010011","Andover School District","Andover Elementary School","314","314"
"0026111","0020011","Ansonia School District","Ansonia High School","631","631"
"0025111","0020011","Ansonia School District","Ansonia Middle School","463","463"
"0020311","0020011","Ansonia School District","Mead School","619","619"
"0020811","0020011","Ansonia School District","Prendergast School","699","699"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","36","36"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","147","147"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","722","722"
"2449514","2440014","Area Cooperative Educational Services","Village School","149","149"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","114","114"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","89","89"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","45","45"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","630","630"
"0030111","0030011","Ashford School District","Ashford School","439","439"
"0046111","0040011","Avon School District","Avon High School","1083","1083"
"0045111","0040011","Avon School District","Avon Middle School","611","611"
"0040411","0040011","Avon School District","Pine Grove School","595","595"
"0040311","0040011","Avon School District","Roaring Brook School","569","569"
"0040511","0040011","Avon School District","Thompson Brook School","548","548"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","328","328"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","21","21"
"0076111","0070011","Berlin School District","Berlin High School","962","962"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","712","712"
"0070411","0070011","Berlin School District","Emma Hart Willard School","501","501"
"0070511","0070011","Berlin School District","Mary E. Griswold School","567","567"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","232","232"
"0080111","0080011","Bethany School District","Bethany Community School","473","473"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","392","392"
"0096111","0090011","Bethel School District","Bethel High School","959","959"
"0095111","0090011","Bethel School District","Bethel Middle School","684","684"
"0090111","0090011","Bethel School District","Frank A. Berry School","497","497"
