"school_code","district_code","district","school","pre_kindergarten","kindergarten","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","total"
"0010111","0010011","Andover School District","Andover Elementary School","26","29","27","37","43","49","41","46","0","0","0","0","0","0","298"
"0025111","0020011","Ansonia School District","Ansonia Middle School","104","0","0","0","0","0","0","0","202","187","0","0","0","0","493"
"0020311","0020011","Ansonia School District","Mead School","0","67","74","85","83","82","84","91","0","0","0","0","0","0","566"
"0020811","0020011","Ansonia School District","Prendergast School","0","98","119","84","94","85","92","89","0","0","0","0","0","0","661"
"0026111","0020011","Ansonia School District","Ansonia High School","0","0","0","0","0","0","0","0","0","0","183","145","139","135","602"
"2449514","2440014","Area Cooperative Educational Services","Village School","*","6","10","14","18","13","20","26","18","19","0","*","0","*","151"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","0","*","*","10","19","21","30","23","16","23","0","0","0","0","151"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","0","60","66","73","75","75","75","75","68","64","0","0","0","0","631"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","0","0","0","0","0","0","0","*","*","7","10","*","*","6","36"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","0","0","0","0","0","0","0","238","236","237","0","0","0","0","711"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","0","0","0","0","0","0","0","0","0","*","16","16","*","67","114"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","0","0","0","0","0","0","0","0","0","0","26","13","25","36","100"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","0","0","0","0","0","0","0","0","0","0","*","7","*","27","39"
"0030111","0030011","Ashford School District","Ashford School","42","42","32","49","43","38","49","33","47","48","0","0","0","0","423"
"0040411","0040011","Avon School District","Pine Grove School","35","83","105","106","133","132","0","0","0","0","0","0","0","0","594"
"0040311","0040011","Avon School District","Roaring Brook School","0","103","108","98","126","138","0","0","0","0","0","0","0","0","573"
"0040511","0040011","Avon School District","Thompson Brook School","0","0","0","0","0","0","275","288","0","0","0","0","0","0","563"
"0045111","0040011","Avon School District","Avon Middle School","0","0","0","0","0","0","0","0","270","314","0","0","0","0","584"
"0046111","0040011","Avon School District","Avon High School","0","0","0","0","0","0","0","0","0","0","270","253","257","277","1057"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","18","0","0","0","0","0","0","0","0","0","0","0","0","0","18"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","0","22","36","45","44","43","62","36","0","0","0","0","0","0","288"
"0070411","0070011","Berlin School District","Emma Hart Willard School","52","75","74","59","79","83","92","0","0","0","0","0","0","0","514"
"0070511","0070011","Berlin School District","Mary E. Griswold School","0","70","85","88","111","96","112","0","0","0","0","0","0","0","562"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","0","48","32","38","54","35","44","0","0","0","0","0","0","0","251"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","0","0","0","0","0","0","0","214","238","239","0","0","0","0","691"
"0076111","0070011","Berlin School District","Berlin High School","0","0","0","0","0","0","0","0","0","0","234","246","212","241","933"
"0080111","0080011","Bethany School District","Bethany Community School","13","45","61","46","57","60","72","82","0","0","0","0","0","0","436"
"0090111","0090011","Bethel School District","Frank A. Berry School","127","117","122","92","98","0","0","0","0","0","0","0","0","0","556"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","0","100","117","95","99","0","0","0","0","0","0","0","0","0","411"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","0","0","0","0","0","182","235","0","0","0","0","0","0","0","417"
"0095111","0090011","Bethel School District","Bethel Middle School","0","0","0","0","0","0","0","213","239","220","0","0","0","0","672"
