"school_code","district_code","district","school","american_indian_or_alaska_native","asian","black_or_african_american","hispanic_latino_of_any_race","native_hawaiian_or_other_pacific_islander","two_or_more_races","white","total"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","*","*","784","255","*","11","*","1063"
"2795113","2790013","Amistad Academy District","Amistad Academy","*","0","640","362","0","18","*","1036"
"0010111","0010011","Andover School District","Andover Elementary School","0","*","*","14","0","6","226","250"
"0026111","0020011","Ansonia School District","Ansonia High School","*","15","139","150","*","6","281","597"
"0025111","0020011","Ansonia School District","Ansonia Middle School","*","*","91","134","7","9","199","446"
"0020311","0020011","Ansonia School District","Mead School","*","6","113","234","*","31","207","595"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","0","0","13","6","0","0","16","35"
"0020811","0020011","Ansonia School District","Prendergast School","0","*","112","219","*","38","297","688"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","0","*","9","*","0","*","23","38"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","0","0","77","51","0","12","27","167"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","*","36","93","347","*","20","228","726"
"2449514","2440014","Area Cooperative Educational Services","Village School","*","9","26","31","*","*","65","135"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","0","*","31","34","0","*","46","113"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","0","0","37","35","0","*","*","95"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","0","*","9","16","0","*","14","42"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","*","*","298","126","0","31","156","632"
"0030111","0030011","Ashford School District","Ashford School","0","*","14","27","*","12","337","397"
"0046111","0040011","Avon School District","Avon High School","*","122","39","67","0","*","769","1038"
"0045111","0040011","Avon School District","Avon Middle School","0","83","20","28","0","15","399","545"
"0040111","0040011","Avon School District","Avon Public Schools Pre-K","0","*","10","*","0","*","25","45"
"0040411","0040011","Avon School District","Pine Grove School","*","131","37","39","*","21","368","599"
"0040311","0040011","Avon School District","Roaring Brook School","*","95","*","34","0","26","318","497"
"0040511","0040011","Avon School District","Thompson Brook School","*","73","25","35","0","*","392","550"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","0","*","*","*","0","*","246","255"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","0","0","0","0","0","0","*","*"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","0","0","0","*","0","*","24","28"
"0076111","0070011","Berlin School District","Berlin High School","*","33","30","75","*","20","791","953"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","0","21","11","57","0","25","558","672"
"0070411","0070011","Berlin School District","Emma Hart Willard School","*","19","12","53","0","*","406","503"
"0070511","0070011","Berlin School District","Mary E. Griswold School","*","8","*","41","0","17","424","497"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","0","*","*","38","0","*","186","238"
"0080111","0080011","Bethany School District","Bethany Community School","*","40","8","19","0","*","312","383"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","0","23","*","83","0","*","295","420"
"0096111","0090011","Bethel School District","Bethel High School","0","59","22","130","0","21","665","897"
"0095111","0090011","Bethel School District","Bethel Middle School","0","54","*","111","*","19","459","658"
"0090111","0090011","Bethel School District","Frank A. Berry School","*","33","7","78","*","21","420","561"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","0","27","9","72","*","*","312","426"
"0116111","0110011","Bloomfield School District","Bloomfield High School","0","*","432","50","0","21","*","516"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","0","*","171","27","*","13","*","220"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","0","*","165","19","0","7","*","193"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","0","*","114","26","0","*","65","218"
"0110611","0110011","Bloomfield School District","Laurel School","*","7","275","31","0","*","13","335"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","0","0","8","*","0","0","*","10"
"0110511","0110011","Bloomfield School District","Metacomet School","*","*","209","21","0","9","12","254"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","0","8","129","32","0","28","125","322"
"0120111","0120011","Bolton School District","Bolton Center School","0","13","40","32","0","17","405","507"
"0126111","0120011","Bolton School District","Bolton High School","0","*","19","13","0","*","263","307"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","0","0","156","20","0","*","*","180"
"0130111","0130011","Bozrah School District","Fields Memorial School","0","*","*","11","0","0","179","201"
"0146111","0140011","Branford School District","Branford High School","*","71","23","77","0","*","720","914"
"0140211","0140011","Branford School District","Branford High School Horizons Program","0","*","*","6","0","*","30","40"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","0","65","34","96","0","15","702","912"
"0148011","0140011","Branford School District","Indian Neck School","0","*","*","*","0","0","34","40"
"0141611","0140011","Branford School District","John B. Sliney School","*","14","12","41","0","*","268","349"
"0141511","0140011","Branford School District","Mary R. Tisko School","*","20","*","24","0","*","314","366"
"0141411","0140011","Branford School District","Mary T. Murphy School","*","57","21","47","0","*","286","424"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","0","*","55","87","0","23","*","186"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","*","10","551","430","0","*","15","1016"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","*","24","174","147","0","*","144","494"
"0150111","0150011","Bridgeport School District","Barnum School","0","*","165","410","0","*","36","618"
"0156111","0150011","Bridgeport School District","Bassick High School","*","28","414","443","*","*","57","951"
"0150211","0150011","Bridgeport School District","Beardsley School","*","7","130","200","0","*","12","354"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","0","20","156","178","0","0","135","489"
"0150311","0150011","Bridgeport School District","Black Rock School","0","*","73","237","0","*","151","469"
"0154011","0150011","Bridgeport School District","Blackham School","7","40","327","551","*","*","198","1131"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","0","*","28","29","0","0","*","61"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","*","*","93","137","0","*","35","270"
"0150411","0150011","Bridgeport School District","Bryant School","*","25","128","192","0","*","31","385"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","0","0","14","13","0","0","0","27"
"0156211","0150011","Bridgeport School District","Central High School","7","68","652","612","0","8","170","1517"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","*","34","240","834","0","*","76","1196"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","*","12","223","123","*","*","27","393"
"0150511","0150011","Bridgeport School District","Columbus School","*","*","298","491","*","10","48","852"
"0153911","0150011","Bridgeport School District","Cross School","0","*","195","185","*","0","14","397"
"0154211","0150011","Bridgeport School District","Curiale School","*","32","288","324","*","*","42","698"
"0153711","0150011","Bridgeport School District","Discovery Interdistrict Magnet School","8","27","146","150","*","*","172","506"
"0154111","0150011","Bridgeport School District","Dunbar School","0","0","198","203","0","*","*","416"
"0150711","0150011","Bridgeport School District","Edison School","0","*","117","108","0","*","29","270"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","*","32","217","456","0","*","67","794"
"0151111","0150011","Bridgeport School District","Hall School","0","*","117","95","0","0","*","240"
"0151211","0150011","Bridgeport School District","Hallen School","*","*","161","122","0","*","25","315"
"0156311","0150011","Bridgeport School District","Harding High School","*","9","404","548","*","*","94","1060"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","*","6","203","123","*","6","68","408"
"0151311","0150011","Bridgeport School District","Hooker School","*","*","128","174","0","*","42","351"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","0","22","180","149","*","*","136","492"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","8","27","146","150","*","*","172","506"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","*","13","296","316","0","*","19","649"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","*","*","204","581","0","*","43","836"
"0152011","0150011","Bridgeport School District","Madison School","*","15","142","267","0","*","81","512"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","21","8","71","264","*","*","93","460"
"0152811","0150011","Bridgeport School District","Opportunities for Self-Discovery Community Partnership","0","0","*","*","0","0","*","7"
"0151711","0150011","Bridgeport School District","Park City Magnet School","*","38","215","166","*","0","57","483"
"0152511","0150011","Bridgeport School District","Read School","*","10","349","431","*","*","89","891"
"0152611","0150011","Bridgeport School District","Roosevelt School","*","21","220","342","*","*","35","623"
"0154411","0150011","Bridgeport School District","Skane Center","0","16","59","111","0","0","38","224"
"0153011","0150011","Bridgeport School District","Waltersville School","0","*","148","331","0","*","19","503"
"0153611","0150011","Bridgeport School District","Winthrop School","*","35","215","215","0","*","197","673"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","0","0","*","6","0","*","8","20"
"0176111","0170011","Bristol School District","Bristol Central High School","*","39","90","242","*","39","754","1167"
"0170411","0170011","Bristol School District","Bristol Early Childhood Center-BECC","0","0","*","7","0","*","51","63"
"0176211","0170011","Bristol School District","Bristol Eastern High School","*","33","100","223","0","*","842","1221"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","0","0","*","*","0","0","28","48"
"0173411","0170011","Bristol School District","CHMS GOAL","0","0","*","*","0","0","*","7"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","0","18","50","164","0","20","452","704"
"0171011","0170011","Bristol School District","Chippens Hill Middle School Functional Program","0","0","0","7","0","*","*","12"
"0179211","0170011","Bristol School District","Community/Vocational Program","0","0","0","*","0","0","*","12"
"0170311","0170011","Bristol School District","Edgewood School","0","15","19","91","0","8","207","340"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","0","18","27","148","0","29","229","451"
"0170911","0170011","Bristol School District","Greene-Hills GOAL","0","0","0","0","0","0","*","*"
"0170511","0170011","Bristol School District","Greene-Hills School","0","45","72","250","*","*","535","927"
"0172111","0170011","Bristol School District","Hubbell/Extended Resource","0","0","0","*","0","*","*","6"
"0172611","0170011","Bristol School District","Ivy Drive GOAL","0","0","0","*","0","0","*","*"
"0172311","0170011","Bristol School District","Ivy Drive Medically Fragile","0","0","0","*","0","0","*","*"
"0171911","0170011","Bristol School District","Ivy Drive School","0","8","34","67","0","11","275","395"
"0171711","0170011","Bristol School District","Mountain View School","0","31","*","68","*","25","233","372"
"0172511","0170011","Bristol School District","Mt. View GOAL","0","0","0","*","0","*","*","8"
"0172711","0170011","Bristol School District","Northeast MS/Extended Resource","0","0","0","0","0","0","*","*"
"0172811","0170011","Bristol School District","Northeast MS/GOAL","0","0","*","*","0","0","*","*"
"0175211","0170011","Bristol School District","Northeast Middle School","0","11","22","66","0","13","310","422"
"0172911","0170011","Bristol School District","PreK Autism","0","0","*","0","0","*","7","10"
"0173011","0170011","Bristol School District","South Side Extended Resource","0","0","0","*","0","0","*","*"
"0173111","0170011","Bristol School District","South Side GOAL","0","0","0","*","0","0","*","*"
"0171111","0170011","Bristol School District","South Side School","*","12","35","129","0","*","307","491"
