"school_code","district_code","district","school","2010_11","2011_12","2012_13","2013_14","2014_15","2015_16"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","610","762","824","870","954","1063"
"2795113","2790013","Amistad Academy District","Amistad Academy","812","857","904","937","984","1036"
"0010111","0010011","Andover School District","Andover Elementary School","334","314","314","298","275","250"
"0026111","0020011","Ansonia School District","Ansonia High School","727","695","631","602","584","597"
"0025111","0020011","Ansonia School District","Ansonia Middle School","458","472","463","493","498","446"
"0020311","0020011","Ansonia School District","Mead School","642","610","619","566","597","595"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","0","0","0","0","40","35"
"0020811","0020011","Ansonia School District","Prendergast School","787","738","699","661","680","688"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","19","31","36","36","39","38"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","170","160","147","151","160","167"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","720","721","722","711","713","726"
"2449514","2440014","Area Cooperative Educational Services","Village School","153","148","149","151","151","135"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","128","114","114","114","113","113"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","102","94","89","100","90","95"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","53","47","45","39","42","42"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","646","640","630","631","631","632"
"0030111","0030011","Ashford School District","Ashford School","476","481","439","423","415","397"
"0046111","0040011","Avon School District","Avon High School","1088","1112","1083","1057","1051","1038"
"0045111","0040011","Avon School District","Avon Middle School","584","572","611","584","548","545"
"0040111","0040011","Avon School District","Avon Public Schools Pre-K","0","0","0","0","48","45"
"0040411","0040011","Avon School District","Pine Grove School","631","631","595","594","576","599"
"0040311","0040011","Avon School District","Roaring Brook School","651","590","569","573","546","497"
"0040511","0040011","Avon School District","Thompson Brook School","594","594","548","563","552","550"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","343","338","328","288","295","255"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","0","0","0","0","0","*"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","30","19","21","18","22","28"
"0076111","0070011","Berlin School District","Berlin High School","1017","976","962","933","918","953"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","719","730","712","691","702","672"
"0070411","0070011","Berlin School District","Emma Hart Willard School","535","492","501","514","504","503"
"0070511","0070011","Berlin School District","Mary E. Griswold School","585","577","567","562","547","497"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","261","241","232","251","225","238"
"0080111","0080011","Bethany School District","Bethany Community School","512","491","473","436","407","383"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","384","389","392","411","413","420"
"0096111","0090011","Bethel School District","Bethel High School","959","949","959","933","889","897"
"0095111","0090011","Bethel School District","Bethel Middle School","683","693","684","672","695","658"
"0090111","0090011","Bethel School District","Frank A. Berry School","460","493","497","556","546","561"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","452","447","443","417","386","426"
"0116111","0110011","Bloomfield School District","Bloomfield High School","593","603","541","555","538","516"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","305","263","220","216","208","220"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","265","286","261","213","214","193"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","0","0","182","220","220","218"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","351","322","0","0","0","0"
"0110611","0110011","Bloomfield School District","Laurel School","281","0","335","318","345","335"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","0","0","10","13","13","10"
"0110511","0110011","Bloomfield School District","Metacomet School","0","251","237","231","248","254"
"0116211","0110011","Bloomfield School District","The Big Picture High School","89","105","0","0","0","0"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","312","321","322","321","321","322"
"0120111","0120011","Bolton School District","Bolton Center School","568","549","533","528","520","507"
"0126111","0120011","Bolton School District","Bolton High School","330","343","359","334","318","307"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","0","0","0","0","91","180"
