"school_code","district_code","district","school","grade","test","2011_12","2012_13","2013_14","2014_15","2015_16"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","All Grades","Curl Up","58.5","70.3","66.3","70.0","56.4"
"2795113","2790013","Amistad Academy District","Amistad Academy","All Grades","Curl Up","56.4","57.4","45.7","53.2","44.9"
"0010111","0010011","Andover School District","Andover Elementary School","All Grades","Curl Up","66.3","80.8","71.6","81.7","84.9"
"0026111","0020011","Ansonia School District","Ansonia High School","All Grades","Curl Up","86.4","87.3","95.3","64.1","97.8"
"0025111","0020011","Ansonia School District","Ansonia Middle School","All Grades","Curl Up","64.5","99.1","89.0","81.4","91.0"
"0020311","0020011","Ansonia School District","Mead School","All Grades","Curl Up","55.3","53.0","47.4","61.2","54.8"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","All Grades","Curl Up","","","","*","*"
"0020811","0020011","Ansonia School District","Prendergast School","All Grades","Curl Up","95.0","95.0","89.7","91.5","90.0"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","All Grades","Curl Up","","","","66.1","35.4"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","All Grades","Curl Up","87.5","82.6","83.4","85.8","86.9"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","All Grades","Curl Up","","","","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","All Grades","Curl Up","","","","*","*"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","All Grades","Curl Up","","","","","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","All Grades","Curl Up","74.3","59.7","78.0","44.3","61.2"
"0030111","0030011","Ashford School District","Ashford School","All Grades","Curl Up","81.2","83.4","68.4","84.3","81.7"
"0046111","0040011","Avon School District","Avon High School","All Grades","Curl Up","85.7","89.1","93.2","88.0","90.7"
"0045111","0040011","Avon School District","Avon Middle School","All Grades","Curl Up","90.1","77.5","73.6","85.9","63.1"
"0040411","0040011","Avon School District","Pine Grove School","All Grades","Curl Up","79.7","88.2","97.4","92.4","92.9"
"0040311","0040011","Avon School District","Roaring Brook School","All Grades","Curl Up","92.7","79.3","80.3","90.6","94.2"
"0040511","0040011","Avon School District","Thompson Brook School","All Grades","Curl Up","91.8","95.7","95.7","93.8","96.9"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","All Grades","Curl Up","90.6","100.0","89.9","80.6","88.4"
"0076111","0070011","Berlin School District","Berlin High School","All Grades","Curl Up","94.8","88.2","96.1","96.5","91.6"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","All Grades","Curl Up","90.7","89.7","90.6","89.3","86.5"
"0070411","0070011","Berlin School District","Emma Hart Willard School","All Grades","Curl Up","89.3","96.7","98.8","96.3","86.4"
"0070511","0070011","Berlin School District","Mary E. Griswold School","All Grades","Curl Up","87.6","86.5","94.8","94.1","89.7"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","All Grades","Curl Up","100.0","95.2","97.1","92.7","92.9"
"0080111","0080011","Bethany School District","Bethany Community School","All Grades","Curl Up","82.5","67.9","40.7","64.2","92.0"
"0096111","0090011","Bethel School District","Bethel High School","All Grades","Curl Up","85.8","84.3","90.7","87.7","89.5"
"0095111","0090011","Bethel School District","Bethel Middle School","All Grades","Curl Up","87.9","91.2","81.1","78.9","78.6"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","All Grades","Curl Up","90.3","76.5","64.2","54.6","88.7"
"0116111","0110011","Bloomfield School District","Bloomfield High School","All Grades","Curl Up","91.0","89.2","93.7","89.5","82.1"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","All Grades","Curl Up","90.2","85.4","86.9","77.4","68.0"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","All Grades","Curl Up","77.8","87.5","73.5","78.6","78.9"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","All Grades","Curl Up","","91.4","91.9","93.7","85.2"
"0110511","0110011","Bloomfield School District","Metacomet School","All Grades","Curl Up","90.8","66.7","66.7","65.6","69.1"
"0120111","0120011","Bolton School District","Bolton Center School","All Grades","Curl Up","89.3","88.0","90.5","90.1","90.2"
"0126111","0120011","Bolton School District","Bolton High School","All Grades","Curl Up","91.7","94.5","93.8","93.1","92.8"
"0130111","0130011","Bozrah School District","Fields Memorial School","All Grades","Curl Up","97.0","97.0","90.4","100.0","88.5"
"0146111","0140011","Branford School District","Branford High School","All Grades","Curl Up","76.6","89.7","84.9","90.9","94.7"
"0140211","0140011","Branford School District","Branford High School Horizons Program","All Grades","Curl Up","","","","","*"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","All Grades","Curl Up","83.3","81.5","77.4","82.6","88.2"
"0141611","0140011","Branford School District","John B. Sliney School","All Grades","Curl Up","62.2","86.8","76.6","72.1","92.4"
"0141511","0140011","Branford School District","Mary R. Tisko School","All Grades","Curl Up","81.4","81.8","81.8","81.8","80.3"
"0141411","0140011","Branford School District","Mary T. Murphy School","All Grades","Curl Up","82.6","88.0","85.5","79.7","82.1"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","All Grades","Curl Up","75.7","30.1","62.1","76.2","66.6"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS a","All Grades","Curl Up","","","","*",""
"0150111","0150011","Bridgeport School District","Barnum School","All Grades","Curl Up","89.8","93.5","98.7","89.8","95.9"
"0156111","0150011","Bridgeport School District","Bassick High School","All Grades","Curl Up","*","32.9","37.9","51.6","18.8"
"0150211","0150011","Bridgeport School District","Beardsley School","All Grades","Curl Up","90.1","81.7","86.4","87.0","76.3"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fai","All Grades","Curl Up","","","","*",""
"0150311","0150011","Bridgeport School District","Black Rock School","All Grades","Curl Up","84.3","93.1","87.4","87.6","77.6"
"0154011","0150011","Bridgeport School District","Blackham School","All Grades","Curl Up","71.2","47.7","82.0","90.6","80.4"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","All Grades","Curl Up","","","","","97.6"
"0150411","0150011","Bridgeport School District","Bryant School","All Grades","Curl Up","76.7","78.0","78.9","77.9","80.6"
"0156211","0150011","Bridgeport School District","Central High School","All Grades","Curl Up","76.7","86.2","","57.8","82.5"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","All Grades","Curl Up","98.1","97.4","91.3","65.7","59.5"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","All Grades","Curl Up","89.7","80.5","76.8","86.1","85.7"
"0150511","0150011","Bridgeport School District","Columbus School","All Grades","Curl Up","91.8","51.6","46.5","51.6","58.8"
"0153911","0150011","Bridgeport School District","Cross School","All Grades","Curl Up","51.8","73.5","65.5","63.3","67.4"
"0154211","0150011","Bridgeport School District","Curiale School","All Grades","Curl Up","68.3","87.8","92.8","93.8","96.3"
"0154111","0150011","Bridgeport School District","Dunbar School","All Grades","Curl Up","74.5","75.3","93.8","78.7","72.2"
"0150711","0150011","Bridgeport School District","Edison School","All Grades","Curl Up","76.5","75.0","82.4","98.1","48.4"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","All Grades","Curl Up","52.4","88.5","89.4","44.1","74.1"
"0151111","0150011","Bridgeport School District","Hall School","All Grades","Curl Up","73.8","78.1","69.0","79.2","79.4"
"0151211","0150011","Bridgeport School District","Hallen School","All Grades","Curl Up","93.0","100.0","92.5","89.2","87.2"
"0156311","0150011","Bridgeport School District","Harding High School","All Grades","Curl Up","*","*","85.0","48.4","64.3"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","All Grades","Curl Up","99.3","100.0","99.3","100.0","100.0"
"0151311","0150011","Bridgeport School District","Hooker School","All Grades","Curl Up","92.8","94.6","88.0","92.6","95.7"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School","All Grades","Curl Up","","","","*",""
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","All Grades","Curl Up","89.2","81.0","82.5","87.9","90.2"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","All Grades","Curl Up","83.3","77.5","79.7","70.1","78.5"
"0151911","0150011","Bridgeport School District","Longfellow School","All Grades","Curl Up","89.4","","","",""
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","All Grades","Curl Up","83.9","81.6","69.1","49.1","69.4"
"0152011","0150011","Bridgeport School District","Madison School","All Grades","Curl Up","92.8","94.9","89.9","73.7","86.4"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","All Grades","Curl Up","99.3","100.0","99.3","100.0","100.0"
"0151711","0150011","Bridgeport School District","Park City Magnet School","All Grades","Curl Up","79.1","73.4","70.3","73.7",""
"0152511","0150011","Bridgeport School District","Read School","All Grades","Curl Up","91.9","88.1","90.0","92.8","86.8"
"0152611","0150011","Bridgeport School District","Roosevelt School","All Grades","Curl Up","58.7","58.7","73.1","62.5","88.7"
"0153011","0150011","Bridgeport School District","Waltersville School","All Grades","Curl Up","80.7","76.8","80.7","82.8","85.9"
"0153611","0150011","Bridgeport School District","Winthrop School","All Grades","Curl Up","84.0","82.3","81.7","65.5","89.2"
"0176111","0170011","Bristol School District","Bristol Central High School","All Grades","Curl Up","77.7","92.2","63.2","91.3","92.0"
"0176211","0170011","Bristol School District","Bristol Eastern High School","All Grades","Curl Up","83.3","87.1","90.5","95.2","95.2"
"0175111","0170011","Bristol School District","Chippens Hill Middle School","All Grades","Curl Up","90.0","89.5","90.2","85.7","85.7"
"0170711","0170011","Bristol School District","Clara T. O'Connell School","All Grades","Curl Up","77.6","","","",""
"0170311","0170011","Bristol School District","Edgewood School","All Grades","Curl Up","88.1","92.1","76.6","78.8","83.9"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","All Grades","Curl Up","88.6","96.7","90.7","95.5","96.9"
"0170511","0170011","Bristol School District","Greene-Hills School","All Grades","Curl Up","90.0","76.0","95.6","96.3","92.4"
"0171911","0170011","Bristol School District","Ivy Drive School","All Grades","Curl Up","67.8","67.8","93.4","89.2","97.0"
"0170611","0170011","Bristol School District","John J. Jennings School","All Grades","Curl Up","80.6","","","",""
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","All Grades","Curl Up","92.1","","","",""
"0171711","0170011","Bristol School District","Mountain View School","All Grades","Curl Up","89.1","87.3","83.0","96.8","95.4"
"0175211","0170011","Bristol School District","Northeast Middle School","All Grades","Curl Up","93.4","92.2","89.9","85.9","82.6"
"0171111","0170011","Bristol School District","South Side School","All Grades","Curl Up","87.8","97.4","76.7","93.6","90.6"
"0171211","0170011","Bristol School District","Stafford School","All Grades","Curl Up","81.8","89.0","86.5","84.5","80.7"
"0172011","0170011","Bristol School District","West Bristol School","All Grades","Curl Up","","95.4","95.8","96.1","95.2"
"0186111","0180011","Brookfield School District","Brookfield High School","All Grades","Curl Up","89.8","85.0","79.5","92.3","85.9"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","All Grades","Curl Up","98.8","99.5","94.0","91.5","90.6"
"0185311","0180011","Brookfield School District","Whisconier Middle School","All Grades","Curl Up","76.9","76.9","71.7","77.3","83.4"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","All Grades","Curl Up","58.5","65.6","61.5","60.6","61.5"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","All Grades","Curl Up","72.8","58.4","71.3","70.6","76.4"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","All Grades","Curl Up","83.3","91.3","60.7","85.2","80.8"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","All Grades","Curl Up","73.1","50.0","55.3","67.3","76.3"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","All Grades","Curl Up","77.1","80.2","81.9","80.0","82.3"
"0236111","0230011","Canton School District","Canton High School","All Grades","Curl Up","72.7","87.6","90.0","89.6","95.1"
"0230311","0230011","Canton School District","Canton Intermediate School","All Grades","Curl Up","100.0","97.5","98.5","95.9","97.6"
"0235111","0230011","Canton School District","Canton Middle School","All Grades","Curl Up","67.0","91.9","85.4","76.9","89.6"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","All Grades","Curl Up","92.3","87.8","75.2","89.7","77.3"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","All Grades","Curl Up","","","","","83.8"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","All Grades","Curl Up","91.1","95.1","91.7","98.4","97.1"
"2416314","2410014","Capitol Region Education Council","Great Path Academy at MCC","All Grades","Curl Up","68.3","","","",""
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Tim","All Grades","Curl Up","*","58.3","88.6","70.9","*"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","All Grades","Curl Up","","75.3","79.5","79.8","*"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","All Grades","Curl Up","","72.7","69.4","54.7","72.6"
