"school_code","district_code","district","school","subject","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","551","548","99.5","547","179","32.7","140","25.6","166","30.3","62","11.3","228","41.7"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","551","547","99.3","546","242","44.3","163","29.9","108","19.8","33","6.0","141","25.8"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","544","541","99.4","541","127","23.5","149","27.5","164","30.3","101","18.7","265","49.0"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","544","540","99.3","540","169","31.3","185","34.3","117","21.7","69","12.8","186","34.4"
"0010111","0010011","Andover School District","Andover Elementary School","ELA","167","163","97.6","163","6","3.7","27","16.6","43","26.4","87","53.4","130","79.8"
"0010111","0010011","Andover School District","Andover Elementary School","Math","167","165","98.8","165","9","5.5","41","24.8","48","29.1","67","40.6","115","69.7"
"0026111","0020011","Ansonia School District","Ansonia High School","ELA","112","104","92.9","104","10","9.6","27","26.0","41","39.4","26","25.0","67","64.4"
"0026111","0020011","Ansonia School District","Ansonia High School","Math","112","103","92.0","103","48","46.6","25","24.3","18","17.5","12","11.7","30","29.1"
"0025111","0020011","Ansonia School District","Ansonia Middle School","ELA","394","386","98.0","386","133","34.5","121","31.3","102","26.4","30","7.8","132","34.2"
"0025111","0020011","Ansonia School District","Ansonia Middle School","Math","394","386","98.0","386","198","51.3","129","33.4","41","10.6","18","4.7","59","15.3"
"0020311","0020011","Ansonia School District","Mead School","ELA","360","360","100.0","360","133","36.9","105","29.2","81","22.5","41","11.4","122","33.9"
"0020311","0020011","Ansonia School District","Mead School","Math","361","361","100.0","361","147","40.7","146","40.4","51","14.1","17","4.7","68","18.8"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0020811","0020011","Ansonia School District","Prendergast School","ELA","349","346","99.1","346","114","32.9","106","30.6","81","23.4","45","13.0","126","36.4"
"0020811","0020011","Ansonia School District","Prendergast School","Math","349","348","99.7","348","132","37.9","138","39.7","56","16.1","22","6.3","78","22.4"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","ELA","142","131","92.3","124","95","76.6","19","15.3","10","8.1","0","0.0","10","8.1"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Math","143","130","90.9","127","118","92.9","*","*","*","*","0","0.0","*","*"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","ELA","706","705","99.9","703","182","25.9","231","32.9","229","32.6","61","8.7","290","41.3"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Math","706","704","99.7","704","303","43.0","229","32.5","117","16.6","55","7.8","172","24.4"
"2449514","2440014","Area Cooperative Educational Services","Village School","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449514","2440014","Area Cooperative Educational Services","Village School","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","ELA","19","15","*","15","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Math","19","15","*","15","*","*","*","*","*","*","*","*","*","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","ELA","426","423","99.3","423","123","29.1","128","30.3","116","27.4","56","13.2","172","40.7"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Math","426","423","99.3","423","218","51.5","136","32.2","52","12.3","17","4.0","69","16.3"
"0030111","0030011","Ashford School District","Ashford School","ELA","250","249","99.6","249","31","12.4","64","25.7","84","33.7","70","28.1","154","61.8"
"0030111","0030011","Ashford School District","Ashford School","Math","250","249","99.6","248","69","27.8","73","29.4","68","27.4","38","15.3","106","42.7"
"0046111","0040011","Avon School District","Avon High School","ELA","246","*","*","*","29","12.6","*","*","69","30.0","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","Math","246","*","*","*","38","16.5","53","22.9","*","*","*","*","*","*"
"0045111","0040011","Avon School District","Avon Middle School","ELA","547","544","99.5","544","16","2.9","74","13.6","235","43.2","219","40.3","454","83.5"
"0045111","0040011","Avon School District","Avon Middle School","Math","547","547","100.0","547","37","6.8","100","18.3","147","26.9","263","48.1","410","75.0"
"0040411","0040011","Avon School District","Pine Grove School","ELA","256","249","97.3","249","*","*","*","*","70","28.1","143","57.4","213","85.5"
"0040411","0040011","Avon School District","Pine Grove School","Math","256","256","100.0","256","13","5.1","46","18.0","95","37.1","102","39.8","197","77.0"
