"school_code","district_code","district","school","subject","ell","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","N","520","517","99.4","516","160","31.0","*","*","158","30.6","*","*","*","*"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","Y","31","31","100.0","31","19","61.3","*","*","8","25.8","*","*","*","*"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","N","520","516","99.2","515","221","42.9","157","30.5","*","*","*","*","*","*"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","Y","31","31","100.0","31","21","67.7","*","*","*","*","0","0.0","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","N","502","500","99.6","500","*","*","139","27.8","154","30.8","*","*","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","Y","42","41","97.6","41","18","43.9","*","*","10","24.4","*","*","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","N","502","499","99.4","499","152","30.5","171","34.3","107","21.4","69","13.8","176","35.3"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","Y","42","41","97.6","41","17","41.5","14","34.1","10","24.4","0","0.0","10","24.4"
"0010111","0010011","Andover School District","Andover Elementary School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0025111","0020011","Ansonia School District","Ansonia Middle School","ELA","N","388","380","97.9","380","*","*","*","*","*","*","*","*","*","*"
"0025111","0020011","Ansonia School District","Ansonia Middle School","ELA","Y","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
"0025111","0020011","Ansonia School District","Ansonia Middle School","Math","N","388","380","97.9","380","*","*","*","*","*","*","*","*","*","*"
"0025111","0020011","Ansonia School District","Ansonia Middle School","Math","Y","6","6","*","6","*","*","*","*","*","*","*","*","*","*"
"0020311","0020011","Ansonia School District","Mead School","ELA","N","351","351","100.0","351","*","*","*","*","*","*","*","*","*","*"
"0020311","0020011","Ansonia School District","Mead School","ELA","Y","9","9","*","9","*","*","*","*","*","*","*","*","*","*"
"0020311","0020011","Ansonia School District","Mead School","Math","N","352","352","100.0","352","*","*","*","*","*","*","*","*","*","*"
"0020311","0020011","Ansonia School District","Mead School","Math","Y","9","9","*","9","*","*","*","*","*","*","*","*","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0020811","0020011","Ansonia School District","Prendergast School","ELA","N","341","339","99.4","339","*","*","*","*","*","*","*","*","*","*"
"0020811","0020011","Ansonia School District","Prendergast School","ELA","Y","8","7","*","7","*","*","*","*","*","*","*","*","*","*"
"0020811","0020011","Ansonia School District","Prendergast School","Math","N","341","340","99.7","340","*","*","*","*","*","*","*","*","*","*"
"0020811","0020011","Ansonia School District","Prendergast School","Math","Y","8","8","*","8","*","*","*","*","*","*","*","*","*","*"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","ELA","N","142","131","92.3","124","95","76.6","19","15.3","10","8.1","0","0.0","10","8.1"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Math","N","143","130","90.9","127","118","92.9","*","*","*","*","0","0.0","*","*"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","ELA","N","656","655","99.8","653","144","22.1","221","33.8","*","*","*","*","*","*"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","ELA","Y","50","50","100.0","50","38","76.0","*","*","*","*","0","0.0","*","*"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Math","N","656","654","99.7","654","258","39.4","*","*","*","*","*","*","*","*"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Math","Y","50","50","100.0","50","45","90.0","*","*","*","*","*","*","*","*"
"2449514","2440014","Area Cooperative Educational Services","Village School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449514","2440014","Area Cooperative Educational Services","Village School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","ELA","N","19","15","*","15","*","*","*","*","*","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Math","N","19","15","*","15","*","*","*","*","*","*","*","*","*","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0030111","0030011","Ashford School District","Ashford School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0030111","0030011","Ashford School District","Ashford School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0030111","0030011","Ashford School District","Ashford School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0030111","0030011","Ashford School District","Ashford School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0045111","0040011","Avon School District","Avon Middle School","ELA","N","537","537","100.0","537","*","*","*","*","*","*","*","*","*","*"
"0045111","0040011","Avon School District","Avon Middle School","ELA","Y","10","7","*","7","*","*","*","*","*","*","*","*","*","*"
"0045111","0040011","Avon School District","Avon Middle School","Math","N","537","537","100.0","537","*","*","*","*","*","*","*","*","*","*"
"0045111","0040011","Avon School District","Avon Middle School","Math","Y","10","10","*","10","*","*","*","*","*","*","*","*","*","*"
"0040411","0040011","Avon School District","Pine Grove School","ELA","N","241","238","98.8","238","*","*","*","*","*","*","*","*","*","*"
"0040411","0040011","Avon School District","Pine Grove School","ELA","Y","15","11","*","11","*","*","*","*","*","*","*","*","*","*"
"0040411","0040011","Avon School District","Pine Grove School","Math","N","241","241","100.0","241","*","*","*","*","*","*","*","*","*","*"
"0040411","0040011","Avon School District","Pine Grove School","Math","Y","15","15","*","15","*","*","*","*","*","*","*","*","*","*"
"0040311","0040011","Avon School District","Roaring Brook School","ELA","N","234","234","100.0","234","14","6.0","32","13.7","45","19.2","143","61.1","188","80.3"
"0040311","0040011","Avon School District","Roaring Brook School","Math","N","234","234","100.0","234","8","3.4","40","17.1","81","34.6","105","44.9","186","79.5"
"0040511","0040011","Avon School District","Thompson Brook School","ELA","N","545","542","99.4","542","*","*","*","*","*","*","*","*","*","*"
"0040511","0040011","Avon School District","Thompson Brook School","ELA","Y","12","10","*","9","*","*","*","*","*","*","*","*","*","*"
"0040511","0040011","Avon School District","Thompson Brook School","Math","N","545","542","99.4","542","*","*","*","*","*","*","*","*","*","*"
"0040511","0040011","Avon School District","Thompson Brook School","Math","Y","12","12","*","12","*","*","*","*","*","*","*","*","*","*"
