"school_code","district_code","district","school","subject","race","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","American Indian or Alaska Native","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","Asian","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","Black or African American","444","441","99.3","441","125","28.3","123","27.9","115","26.1","78","17.7","193","43.8"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","Hispanic/Latino of any race","138","138","100.0","138","45","32.6","30","21.7","45","32.6","18","13.0","63","45.7"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","Native Hawaiian or Other Pacific Islander","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","Two or More Races","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","White","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","American Indian or Alaska Native","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","Asian","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","Black or African American","444","439","98.9","439","162","36.9","150","34.2","72","16.4","55","12.5","127","28.9"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","Hispanic/Latino of any race","138","137","99.3","136","58","42.6","39","28.7","22","16.2","17","12.5","39","28.7"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","Native Hawaiian or Other Pacific Islander","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","Two or More Races","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","White","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","Black or African American","332","328","98.8","328","68","20.7","77","23.5","127","38.7","56","17.1","183","55.8"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","Hispanic/Latino of any race","189","189","100.0","189","40","21.2","52","27.5","66","34.9","31","16.4","97","51.3"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","Two or More Races","10","10","*","10","*","*","*","*","*","*","*","*","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","White","7","7","*","7","*","*","*","*","*","*","*","*","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","Black or African American","332","328","98.8","328","72","22.0","110","33.5","88","26.8","58","17.7","146","44.5"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","Hispanic/Latino of any race","189","188","99.5","188","44","23.4","48","25.5","45","23.9","51","27.1","96","51.1"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","Two or More Races","10","10","*","10","*","*","*","*","*","*","*","*","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","White","7","7","*","7","*","*","*","*","*","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","ELA","Asian","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","ELA","Black or African American","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","ELA","Hispanic/Latino of any race","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","ELA","Two or More Races","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","ELA","White","148","146","98.6","146","11","7.5","26","17.8","41","28.1","68","46.6","109","74.7"
"0010111","0010011","Andover School District","Andover Elementary School","Math","Asian","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","Math","Black or African American","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","Math","Hispanic/Latino of any race","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","Math","Two or More Races","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","Math","White","148","146","98.6","146","6","4.1","35","24.0","50","34.2","55","37.7","105","71.9"
"0025111","0020011","Ansonia School District","Ansonia Middle School","ELA","American Indian or Alaska Native","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0025111","0020011","Ansonia School District","Ansonia Middle School","ELA","Asian","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
