"school_code","district_code","district","school","subject","free_reduced_price_meal_eligibility_3_level_","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","F","592","589","99.5","589","170","28.9","155","26.3","165","28.0","99","16.8","264","44.8"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","F","592","586","99.0","585","222","37.9","189","32.3","97","16.6","77","13.2","174","29.7"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","F","364","361","99.2","361","93","25.8","96","26.6","125","34.6","47","13.0","172","47.6"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","N","85","84","98.8","84","9","10.7","15","17.9","37","44.0","23","27.4","60","71.4"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","R","89","89","100.0","89","7","7.9","23","25.8","37","41.6","22","24.7","59","66.3"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","F","364","360","98.9","360","99","27.5","105","29.2","99","27.5","57","15.8","156","43.3"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","N","85","84","98.8","84","11","13.1","28","33.3","14","16.7","31","36.9","45","53.6"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","R","89","89","100.0","89","9","10.1","28","31.5","26","29.2","26","29.2","52","58.4"
"0010111","0010011","Andover School District","Andover Elementary School","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","ELA","N","134","133","99.3","133","8","6.0","21","15.8","38","28.6","66","49.6","104","78.2"
"0010111","0010011","Andover School District","Andover Elementary School","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","Math","N","134","133","99.3","133","6","4.5","27","20.3","47","35.3","53","39.8","100","75.2"
"0010111","0010011","Andover School District","Andover Elementary School","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0025111","0020011","Ansonia School District","Ansonia Middle School","ELA","F","201","194","96.5","194","94","48.5","53","27.3","*","*","*","*","47","24.2"
"0025111","0020011","Ansonia School District","Ansonia Middle School","ELA","N","104","103","99.0","103","36","35.0","31","30.1","27","26.2","9","8.7","36","35.0"
