"school_code","district_code","district","school","subject","gender","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","F","296","295","99.7","295","68","23.1","73","24.7","98","33.2","56","19.0","154","52.2"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","ELA","M","296","294","99.3","294","102","34.7","82","27.9","67","22.8","43","14.6","110","37.4"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","F","296","294","99.3","294","102","34.7","106","36.1","53","18.0","33","11.2","86","29.3"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Math","M","296","292","98.6","291","120","41.2","83","28.5","44","15.1","44","15.1","88","30.2"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","F","267","266","99.6","266","37","13.9","68","25.6","111","41.7","50","18.8","161","60.5"
"2795113","2790013","Amistad Academy District","Amistad Academy","ELA","M","271","268","98.9","268","72","26.9","66","24.6","88","32.8","42","15.7","130","48.5"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","F","267","266","99.6","266","50","18.8","89","33.5","73","27.4","54","20.3","127","47.7"
"2795113","2790013","Amistad Academy District","Amistad Academy","Math","M","271","267","98.5","267","69","25.8","72","27.0","66","24.7","60","22.5","126","47.2"
"0010111","0010011","Andover School District","Andover Elementary School","ELA","F","75","74","98.7","74","*","*","*","*","19","25.7","41","55.4","60","81.1"
"0010111","0010011","Andover School District","Andover Elementary School","ELA","M","84","82","97.6","82","*","*","*","*","26","31.7","31","37.8","57","69.5"
"0010111","0010011","Andover School District","Andover Elementary School","Math","F","75","74","98.7","74","*","*","*","*","24","32.4","30","40.5","54","73.0"
"0010111","0010011","Andover School District","Andover Elementary School","Math","M","84","82","97.6","82","*","*","*","*","30","36.6","29","35.4","59","72.0"
"0025111","0020011","Ansonia School District","Ansonia Middle School","ELA","F","168","164","97.6","164","57","34.8","58","35.4","41","25.0","8","4.9","49","29.9"
"0025111","0020011","Ansonia School District","Ansonia Middle School","ELA","M","185","179","96.8","179","88","49.2","47","26.3","35","19.6","9","5.0","44","24.6"
"0025111","0020011","Ansonia School District","Ansonia Middle School","Math","F","168","164","97.6","163","80","49.1","62","38.0","*","*","*","*","21","12.9"
"0025111","0020011","Ansonia School District","Ansonia Middle School","Math","M","185","179","96.8","179","80","44.7","59","33.0","*","*","*","*","40","22.3"
"0020311","0020011","Ansonia School District","Mead School","ELA","F","171","171","100.0","171","53","31.0","55","32.2","41","24.0","22","12.9","63","36.8"
"0020311","0020011","Ansonia School District","Mead School","ELA","M","175","175","100.0","175","83","47.4","40","22.9","36","20.6","16","9.1","52","29.7"
"0020311","0020011","Ansonia School District","Mead School","Math","F","171","171","100.0","171","66","38.6","61","35.7","37","21.6","7","4.1","44","25.7"
"0020311","0020011","Ansonia School District","Mead School","Math","M","175","175","100.0","175","75","42.9","62","35.4","21","12.0","17","9.7","38","21.7"
"0020811","0020011","Ansonia School District","Prendergast School","ELA","F","179","173","96.6","173","44","25.4","49","28.3","51","29.5","29","16.8","80","46.2"
"0020811","0020011","Ansonia School District","Prendergast School","ELA","M","172","171","99.4","171","61","35.7","44","25.7","45","26.3","21","12.3","66","38.6"
"0020811","0020011","Ansonia School District","Prendergast School","Math","F","179","173","96.6","173","57","32.9","66","38.2","39","22.5","11","6.4","50","28.9"
"0020811","0020011","Ansonia School District","Prendergast School","Math","M","172","170","98.8","170","57","33.5","56","32.9","41","24.1","16","9.4","57","33.5"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","ELA","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","Math","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","ELA","F","19","18","*","18","*","*","*","*","*","*","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","ELA","M","126","122","96.8","121","*","*","*","*","*","*","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Math","F","19","16","*","16","*","*","*","*","*","*","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Math","M","126","117","92.9","117","*","*","*","*","*","*","0","0.0","*","*"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","ELA","F","351","351","100.0","351","105","29.9","99","28.2","109","31.1","38","10.8","147","41.9"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","ELA","M","373","373","100.0","373","139","37.3","100","26.8","94","25.2","40","10.7","134","35.9"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Math","F","351","351","100.0","351","158","45.0","109","31.1","58","16.5","26","7.4","84","23.9"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Math","M","373","373","100.0","373","163","43.7","110","29.5","65","17.4","35","9.4","100","26.8"
"2449514","2440014","Area Cooperative Educational Services","Village School","ELA","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2449514","2440014","Area Cooperative Educational Services","Village School","Math","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","ELA","F","213","213","100.0","213","52","24.4","55","25.8","65","30.5","41","19.2","106","49.8"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","ELA","M","200","198","99.0","198","74","37.4","47","23.7","53","26.8","24","12.1","77","38.9"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Math","F","213","213","100.0","213","86","40.4","80","37.6","35","16.4","12","5.6","47","22.1"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Math","M","200","198","99.0","198","106","53.5","56","28.3","27","13.6","9","4.5","36","18.2"
"0030111","0030011","Ashford School District","Ashford School","ELA","F","117","117","100.0","117","12","10.3","21","17.9","40","34.2","44","37.6","84","71.8"
"0030111","0030011","Ashford School District","Ashford School","ELA","M","114","114","100.0","114","23","20.2","30","26.3","42","36.8","19","16.7","61","53.5"
"0030111","0030011","Ashford School District","Ashford School","Math","F","117","117","100.0","117","22","18.8","40","34.2","32","27.4","23","19.7","55","47.0"
"0030111","0030011","Ashford School District","Ashford School","Math","M","114","114","100.0","114","26","22.8","30","26.3","41","36.0","17","14.9","58","50.9"
"0045111","0040011","Avon School District","Avon Middle School","ELA","F","255","253","99.2","253","10","4.0","29","11.5","103","40.7","111","43.9","214","84.6"
"0045111","0040011","Avon School District","Avon Middle School","ELA","M","285","285","100.0","285","12","4.2","46","16.1","109","38.2","118","41.4","227","79.6"
"0045111","0040011","Avon School District","Avon Middle School","Math","F","255","253","99.2","253","19","7.5","36","14.2","59","23.3","139","54.9","198","78.3"
"0045111","0040011","Avon School District","Avon Middle School","Math","M","287","286","99.7","286","16","5.6","37","12.9","69","24.1","164","57.3","233","81.5"
