"CT School Day SAT, 2016-17"
"All Districts, All Subjects, All Students"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","""2880013""","Achievement First Hartford Academy Inc.","""2880113""","ELA",39,39,100.0,39,"*","*",10,25.6,22,56.4,"*","*","*","*",488
"Achievement First Hartford Academy Inc. District","""2880013""","Achievement First Hartford Academy Inc.","""2880113""","Math",39,39,100.0,38,"*","*",20,52.6,13,34.2,"*","*","*","*",494
"Amistad Academy District","""2790013""","Amistad Academy","""2795113""","ELA",50,48,96.0,47,"*","*",9,19.1,33,70.2,"*","*","*","*",511
"Amistad Academy District","""2790013""","Amistad Academy","""2795113""","Math",50,48,96.0,47,10,21.3,28,59.6,9,19.1,0,0.0,9,19.1,467
"Ansonia School District","""0020011""","Ansonia High School","""0026111""","ELA",124,119,96.0,119,33,27.7,25,21.0,50,42.0,11,9.2,61,51.3,482
"Ansonia School District","""0020011""","Ansonia High School","""0026111""","Math",124,119,96.0,119,52,43.7,46,38.7,"*","*","*","*",21,17.6,447
"Ansonia School District","""0020011""","P.A.C.E. (Positive And Creative Education)","""0020111""","ELA",8,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","""0020011""","P.A.C.E. (Positive And Creative Education)","""0020111""","Math",8,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","""2440014""","Whitney High School North","""2449114""","ELA",18,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","""2440014""","Whitney High School North","""2449114""","Math",18,15,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","""0040011""","Avon High School","""0046111""","ELA",283,280,98.9,280,14,5.0,19,6.8,119,42.5,128,45.7,247,88.2,603
"Avon School District","""0040011""","Avon High School","""0046111""","Math",283,280,98.9,280,12,4.3,46,16.4,103,36.8,119,42.5,222,79.3,612
"Berlin School District","""0070011""","Berlin High School","""0076111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","""0070011""","Berlin High School","""0076111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","""0090011""","Bethel High School","""0096111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","""0090011""","Bethel High School","""0096111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","""0110011""","Bloomfield High School","""0116111""","ELA",129,126,97.7,126,31,24.6,41,32.5,47,37.3,7,5.6,54,42.9,473
"Bloomfield School District","""0110011""","Bloomfield High School","""0116111""","Math",129,126,97.7,126,37,29.4,68,54.0,"*","*","*","*",21,16.7,450
"Bloomfield School District","""0110011""","Global Experience Magnet School","""0116311""","ELA",27,27,100.0,27,"*","*","*","*",16,59.3,0,0.0,16,59.3,485
"Bloomfield School District","""0110011""","Global Experience Magnet School","""0116311""","Math",27,27,100.0,27,"*","*",16,59.3,"*","*",0,0.0,"*","*",448
"Bloomfield School District","""0110011""","Learning Academy at Bloomfield","""0116411""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","""0110011""","Learning Academy at Bloomfield","""0116411""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","""0120011""","Bolton High School","""0126111""","ELA",79,79,100.0,79,6,7.6,9,11.4,42,53.2,22,27.8,64,81.0,562
"Bolton School District","""0120011""","Bolton High School","""0126111""","Math",79,79,100.0,79,14,17.7,26,32.9,30,38.0,9,11.4,39,49.4,521
"Branford School District","""0140011""","Branford High School","""0146111""","ELA",202,200,99.0,200,21,10.5,33,16.5,117,58.5,29,14.5,146,73.0,530
"Branford School District","""0140011""","Branford High School","""0146111""","Math",202,200,99.0,200,31,15.5,78,39.0,70,35.0,21,10.5,91,45.5,515
"Branford School District","""0140011""","Branford High School Horizons Program","""0140211""","ELA",13,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","""0140011""","Branford High School Horizons Program","""0140211""","Math",13,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","""2850013""","Achievement First Bridgeport Academy","""2850113""","ELA",36,34,94.4,34,"*","*",6,17.6,18,52.9,"*","*","*","*",508
"Bridgeport Achievement First District","""2850013""","Achievement First Bridgeport Academy","""2850113""","Math",36,34,94.4,34,8,23.5,18,52.9,8,23.5,0,0.0,8,23.5,471
"Bridgeport School District","""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","""0150811""","ELA",123,113,91.9,113,17,15.0,20,17.7,55,48.7,21,18.6,76,67.3,531
"Bridgeport School District","""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","""0150811""","Math",123,113,91.9,111,17,15.3,42,37.8,31,27.9,21,18.9,52,46.8,528
"Bridgeport School District","""0150011""","Bassick High School","""0156111""","ELA",209,170,81.3,170,113,66.5,40,23.5,17,10.0,0,0.0,17,10.0,399
"Bridgeport School District","""0150011""","Bassick High School","""0156111""","Math",209,170,81.3,168,109,64.9,"*","*","*","*",0,0.0,"*","*",389
"Bridgeport School District","""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","""0150611""","ELA",114,113,99.1,113,"*","*",29,25.7,53,46.9,"*","*","*","*",476
