"Student Counts by School and Race"
"All Districts, All Schools"
"2009-10"

"",,,,"Race",,,,,,
"District","District Code","School","School Code","American Indian","Asian","Black, not of Hispanic Origin","Hispanic/Latino","Not Reported","White, not of Hispanic Origin","Total"
"Achievement First Hartford Academy Inc. District","""2880013""","Achievement First Hartford Academy Inc.","""2880113""","*","*",389,45,0,"*",440
"Amistad Academy District","""2790013""","Amistad Academy","""2795113""","*","*",470,257,"*",14,744
"Andover School District","""0010011""","Andover Elementary School","""0010111""",0,6,"*","*",0,320,336
"Ansonia School District","""0020011""","Ansonia High School","""0026111""","*","*",183,153,0,421,777
"Ansonia School District","""0020011""","Ansonia Middle School","""0025111""","*","*",93,99,0,275,477
"Ansonia School District","""0020011""","Mead School","""0020311""","*","*",143,165,0,329,660
"Ansonia School District","""0020011""","Prendergast School","""0020811""","*","*",163,191,0,436,811
"Area Cooperative Educational Services","""2440014""","Collaborative Alternative Magnet School","""2446114""",0,"*",31,"*",0,59,110
"Area Cooperative Educational Services","""2440014""","Mill Road School","""2449414""","*","*",65,45,0,35,148
"Area Cooperative Educational Services","""2440014""","Thomas Edison Magnet Middle School","""2445114""","*","*",130,279,0,298,733
"Area Cooperative Educational Services","""2440014""","Village School","""2449514""",0,8,37,22,0,109,176
"Area Cooperative Educational Services","""2440014""","Whitney High School East","""2449214""",0,"*",42,"*",0,51,123
"Area Cooperative Educational Services","""2440014""","Whitney High School North","""2449114""",0,"*",41,37,0,"*",100
"Area Cooperative Educational Services","""2440014""","Whitney High School West","""2449314""",0,"*","*",12,0,32,56
"Area Cooperative Educational Services","""2440014""","Wintergreen Interdistrict  Magnet School","""2440314""","*","*",277,96,0,211,630
"Ashford School District","""0030011""","Ashford School","""0030111""","*",10,"*",26,0,430,475
"Avon School District","""0040011""","Avon High School","""0046111""","*",75,"*",39,0,941,1079
"Avon School District","""0040011""","Avon Middle School","""0045111""",0,50,15,26,0,510,601
"Avon School District","""0040011""","Pine Grove School","""0040411""","*",70,"*",33,0,520,655
"Avon School District","""0040011""","Roaring Brook School","""0040311""","*",83,"*",24,0,551,682
"Avon School District","""0040011""","Thompson Brook School","""0040511""","*",52,"*",30,0,468,568
"Barkhamsted School District","""0050011""","Barkhamsted Elementary School","""0050111""","*","*","*",8,0,327,345
"Barkhamsted School District","""0050011""","Shared Services Integrated Preschool","""0058011""",0,"*","*",0,0,20,22
"Berlin School District","""0070011""","Berlin High School","""0076111""","*",42,"*",23,0,948,1022
"Berlin School District","""0070011""","Catherine M. McGee Middle School","""0075111""","*",22,"*",21,0,682,733
"Berlin School District","""0070011""","Emma Hart Willard School","""0070411""","*",38,"*",18,0,520,588
"Berlin School District","""0070011""","Mary E. Griswold School","""0070511""","*",20,"*",24,0,505,564
"Berlin School District","""0070011""","Richard D. Hubbard School","""0070111""","*","*",9,8,0,227,252
"Bethany School District","""0080011""","Bethany Community School","""0080111""","*",31,9,"*",0,465,515
"Bethel School District","""0090011""","Anna H. Rockwell School","""0090411""",0,34,7,52,0,327,420
"Bethel School District","""0090011""","Bethel High School","""0096111""","*",60,"*",97,0,802,987
"Bethel School District","""0090011""","Bethel Middle School","""0095111""",0,42,12,85,0,564,703
"Bethel School District","""0090011""","Frank A. Berry School","""0090111""",0,33,16,47,0,401,497
"Bethel School District","""0090011""","Ralph M. T. Johnson School","""0090511""",0,36,8,42,0,349,435
"Bloomfield School District","""0110011""","Bloomfield High School","""0116111""",0,6,559,45,0,19,629
"Bloomfield School District","""0110011""","Carmen Arace Intermediate School","""0110711""","*","*",253,23,0,15,294
"Bloomfield School District","""0110011""","Carmen Arace Middle School","""0115211""","*","*",277,18,0,16,314
"Bloomfield School District","""0110011""","J. P. Vincent School","""0110311""",0,"*",226,16,0,"*",254
"Bloomfield School District","""0110011""","Laurel School","""0110611""","*",0,218,28,0,"*",264
"Bloomfield School District","""0110011""","Metacomet School","""0110511""",0,"*",158,12,0,"*",182
"Bloomfield School District","""0110011""","The Big Picture High School","""0116211""",0,"*",69,10,0,"*",88
"Bloomfield School District","""0110011""","Wintonbury Early Childhood Magnet School","""0110811""","*",15,99,"*",0,124,254
