"Student Counts by School and Race"
"All Districts, All Schools"
"2013-14"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Hartford Academy Inc. District","""2880013""","Achievement First Hartford Academy Inc.","""2880113""","*","*",720,136,"*",10,"*",870
"Amistad Academy District","""2790013""","Amistad Academy","""2795113""","*",0,561,343,0,17,"*",937
"Andover School District","""0010011""","Andover Elementary School","""0010111""",0,"*","*",12,0,7,273,298
"Ansonia School District","""0020011""","Ansonia High School","""0026111""","*",9,131,148,"*","*",308,602
"Ansonia School District","""0020011""","Ansonia Middle School","""0025111""","*",12,103,150,"*",7,216,493
"Ansonia School District","""0020011""","Mead School","""0020311""","*","*",98,196,8,19,240,566
"Ansonia School District","""0020011""","Prendergast School","""0020811""","*",15,96,212,"*",20,311,661
"Area Cooperative Educational Services","""2440014""","Center for Autism Spectrum and Development Disorders","""2449614""",0,"*","*","*",0,"*",27,36
"Area Cooperative Educational Services","""2440014""","Mill Road School","""2449414""","*",0,62,50,0,"*",28,151
"Area Cooperative Educational Services","""2440014""","Thomas Edison Magnet Middle School","""2445114""","*",34,101,294,0,"*",275,711
"Area Cooperative Educational Services","""2440014""","Village School","""2449514""","*",10,29,33,0,"*",77,151
"Area Cooperative Educational Services","""2440014""","Whitney High School East","""2449214""",0,"*",32,36,0,"*",41,114
"Area Cooperative Educational Services","""2440014""","Whitney High School North","""2449114""",0,0,40,32,0,"*","*",100
"Area Cooperative Educational Services","""2440014""","Whitney High School West","""2449314""",0,"*",9,8,0,"*",19,39
"Area Cooperative Educational Services","""2440014""","Wintergreen Interdistrict  Magnet School","""2440314""","*",28,289,115,0,"*",169,631
"Ashford School District","""0030011""","Ashford School","""0030111""",0,"*","*",26,0,7,383,423
"Avon School District","""0040011""","Avon High School","""0046111""","*",93,36,62,"*",30,834,1057
"Avon School District","""0040011""","Avon Middle School","""0045111""","*",57,"*",32,0,23,454,584
"Avon School District","""0040011""","Pine Grove School","""0040411""","*",89,25,36,"*",16,425,594
"Avon School District","""0040011""","Roaring Brook School","""0040311""","*",55,"*",45,0,30,416,573
"Avon School District","""0040011""","Thompson Brook School","""0040511""","*",75,21,27,0,"*",425,563
"Barkhamsted School District","""0050011""","Barkhamsted Elementary School","""0050111""",0,"*","*","*",0,"*",280,288
"Barkhamsted School District","""0050011""","Shared Services Integrated Preschool","""0058011""",0,0,0,0,0,0,18,18
"Berlin School District","""0070011""","Berlin High School","""0076111""","*",34,25,65,"*",18,789,933
"Berlin School District","""0070011""","Catherine M. McGee Middle School","""0075111""","*",21,21,65,0,"*",567,691
"Berlin School District","""0070011""","Emma Hart Willard School","""0070411""",0,20,9,43,0,15,427,514
