"Student Counts by School and Grade"
"All Districts, All Schools"
"2016-17"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Andover School District","""0010011""","Andover Elementary School","""0010111""",28,16,23,23,27,28,37,43,0,0,0,0,0,0,225
"Ansonia School District","""0020011""","Ansonia Middle School","""0025111""",85,0,0,0,0,0,0,0,183,173,0,0,0,0,441
"Ansonia School District","""0020011""","Mead School","""0020311""",15,69,79,82,72,90,86,87,0,0,0,0,0,0,580
"Ansonia School District","""0020011""","Prendergast School","""0020811""",0,111,106,94,94,88,83,89,0,0,0,0,0,0,665
"Ansonia School District","""0020011""","Ansonia High School","""0026111""",0,0,0,0,0,0,0,0,0,0,157,176,135,148,616
"Ansonia School District","""0020011""","P.A.C.E. (Positive And Creative Education)","""0020111""",0,0,0,0,0,0,0,0,0,0,"*",10,9,"*",31
"Ansonia School District","""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","""0020411""",0,0,0,0,0,0,0,0,0,0,"*","*","*","*",7
"Area Cooperative Educational Services","""2440014""","Village School","""2449514""","*",8,"*","*",10,14,19,21,15,15,"*",0,"*",0,118
"Area Cooperative Educational Services","""2440014""","Mill Road School","""2449414""",0,"*","*",18,15,20,33,24,26,25,0,0,0,0,168
"Area Cooperative Educational Services","""2440014""","Wintergreen Interdistrict  Magnet School","""2440314""",0,63,69,70,76,75,75,68,71,64,0,0,0,0,631
"Area Cooperative Educational Services","""2440014""","Thomas Edison Magnet Middle School","""2445114""",0,0,0,0,0,0,0,238,256,238,0,0,0,0,732
"Area Cooperative Educational Services","""2440014""","Center for Autism Spectrum and Development Disorders","""2449614""",0,0,0,0,0,0,0,0,"*","*",7,"*",8,14,40
"Area Cooperative Educational Services","""2440014""","Whitney High School East","""2449214""",0,0,0,0,0,0,0,0,0,0,15,15,16,69,115
"Area Cooperative Educational Services","""2440014""","Whitney High School North","""2449114""",0,0,0,0,0,0,0,0,0,0,20,25,24,33,102
"Area Cooperative Educational Services","""2440014""","Whitney High School West","""2449314""",0,0,0,0,0,0,0,0,0,0,9,"*","*",22,41
"Ashford School District","""0030011""","Ashford School","""0030111""",47,35,42,35,44,31,43,40,39,50,0,0,0,0,406
"Avon School District","""0040011""","Avon Public Schools Pre-K","""0040111""",56,0,0,0,0,0,0,0,0,0,0,0,0,0,56
"Avon School District","""0040011""","Pine Grove School","""0040411""",0,99,123,155,123,124,0,0,0,0,0,0,0,0,624
"Avon School District","""0040011""","Roaring Brook School","""0040311""",0,99,90,102,107,118,0,0,0,0,0,0,0,0,516
"Avon School District","""0040011""","Thompson Brook School","""0040511""",0,0,0,0,0,0,219,278,0,0,0,0,0,0,497
"Avon School District","""0040011""","Avon Middle School","""0045111""",0,0,0,0,0,0,0,0,283,275,0,0,0,0,558
"Avon School District","""0040011""","Avon High School","""0046111""",0,0,0,0,0,0,0,0,0,0,251,239,281,253,1024
"Barkhamsted School District","""0050011""","Shared Services Integrated Preschool","""0058011""",23,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"Barkhamsted School District","""0050011""","Barkhamsted Elementary School","""0050111""",0,15,23,31,31,36,46,46,0,0,0,0,0,0,228
"Barkhamsted School District","""0050011""","Bridges at Barkhamsted Elementary School","""0050211""",0,0,0,0,0,0,"*","*",0,0,0,0,0,0,"*"
"Berlin School District","""0070011""","Emma Hart Willard School","""0070411""",60,63,68,76,77,79,59,0,0,0,0,0,0,0,482
"Berlin School District","""0070011""","Mary E. Griswold School","""0070511""",0,80,71,84,71,95,90,0,0,0,0,0,0,0,491
"Berlin School District","""0070011""","Richard D. Hubbard School","""0070111""",0,28,40,23,45,37,40,0,0,0,0,0,0,0,213
"Berlin School District","""0070011""","Catherine M. McGee Middle School","""0075111""",0,0,0,0,0,0,0,248,213,253,0,0,0,0,714
"Berlin School District","""0070011""","Berlin High School","""0076111""",0,0,0,0,0,0,0,0,0,0,203,231,214,243,891
