"","district_code","district","school_code","school","school_grade16","school_grade15","diff"
"1","0010011","Andover School District","0000000","District",78.9636620299712,95.2221763829242,-16.258514352953
"2","0010011","Andover School District","0010111","Andover Elementary School",78.9636620299711,95.2221763829242,-16.2585143529531
"3","0020011","Ansonia School District","0000000","District",65.6794239699161,68.9903830997939,-3.31095912987776
"4","0020011","Ansonia School District","0020311","Mead School",59.3047420285109,66.1739723862167,-6.86923035770579
"5","0020011","Ansonia School District","0020811","Prendergast School",66.449270834101,71.2017966210786,-4.7525257869776
"6","0020011","Ansonia School District","0025111","Ansonia Middle School",55.7291657120875,61.6647099954766,-5.93554428338913
"7","0020011","Ansonia School District","0026111","Ansonia High School",69.7239796710464,71.2701755282738,-1.54619585722737
"8","0030011","Ashford School District","0000000","District",69.9241350421616,79.015695824367,-9.09156078220539
"9","0030011","Ashford School District","0030111","Ashford School",69.9839660503008,79.4132746893483,-9.42930863904748
"10","0040011","Avon School District","0000000","District",83.9886496377836,90.3461349664288,-6.35748532864523
"11","0040011","Avon School District","0040311","Roaring Brook School",80.2261851946042,88.7935964223175,-8.56741122771328
"12","0040011","Avon School District","0040411","Pine Grove School",84.6995969355612,93.7217903633704,-9.02219342780923
"13","0040011","Avon School District","0040511","Thompson Brook School",75.5782030752338,84.3589122530941,-8.78070917786032
"14","0040011","Avon School District","0045111","Avon Middle School",78.4331151302278,86.6904893486234,-8.25737421839561
"15","0040011","Avon School District","0046111","Avon High School",88.9647110168027,86.1788135895617,2.78589742724095
"16","0050011","Barkhamsted School District","0000000","District",73.4584242981965,82.9579281668455,-9.49950386864896
"17","0050011","Barkhamsted School District","0050111","Barkhamsted Elementary School",72.8303558490857,82.9579281668455,-10.1275723177598
"18","0070011","Berlin School District","0000000","District",81.2875862983373,83.8365452828525,-2.54895898451522
"19","0070011","Berlin School District","0070111","Richard D. Hubbard School",87.1073269919941,84.6959313189687,2.41139567302541
"20","0070011","Berlin School District","0070411","Emma Hart Willard School",80.9209590907331,90.5824743116594,-9.66151522092629
"21","0070011","Berlin School District","0070511","Mary E. Griswold School",80.1985331756446,86.7932297255843,-6.59469654993971
"22","0070011","Berlin School District","0075111","Catherine M. McGee Middle School",72.3071878673641,82.3326717492497,-10.0254838818856
"23","0070011","Berlin School District","0076111","Berlin High School",81.1753597269684,72.2652557505643,8.9101039764041
"24","0080011","Bethany School District","0000000","District",77.1261818643716,80.1278904294074,-3.00170856503581
"25","0080011","Bethany School District","0080111","Bethany Community School",77.1261818643716,80.1278904294074,-3.00170856503581
"26","0090011","Bethel School District","0000000","District",82.8716253576112,86.8606477078886,-3.98902235027742
"27","0090011","Bethel School District","0090111","Frank A. Berry School",95.34900221262,91.5031168990917,3.84588531352826
"28","0090011","Bethel School District","0090411","Anna H. Rockwell School",89.2415808355437,83.0446988954445,6.19688194009919
"29","0090011","Bethel School District","0090511","Ralph M. T. Johnson School",78.8686831007574,85.9855491014179,-7.11686600066047
"30","0090011","Bethel School District","0095111","Bethel Middle School",77.6569158725609,81.6078363574576,-3.95092048489674
"31","0090011","Bethel School District","0096111","Bethel High School",80.2464287541502,81.4861094192054,-1.23968066505525
"32","0110011","Bloomfield School District","0000000","District",73.5854924173146,77.7639627393559,-4.17847032204135
"33","0110011","Bloomfield School District","0110511","Metacomet School",75.8616740330673,77.0131175052947,-1.15144347222738
"34","0110011","Bloomfield School District","0110611","Laurel School",75.1814918228959,87.6929081993609,-12.511416376465
"35","0110011","Bloomfield School District","0110711","Carmen Arace Intermediate School",74.038704540668,76.7462130588236,-2.70750851815558
"36","0110011","Bloomfield School District","0110811","Wintonbury Early Childhood Magnet School",48.3908045977012,34.0819964349376,14.3088081627636
"37","0110011","Bloomfield School District","0115211","Carmen Arace Middle School",66.4148333796126,71.8692992127368,-5.45446583312419
"38","0110011","Bloomfield School District","0116111","Bloomfield High School",72.5569405305531,77.5929169484743,-5.03597641792118
"39","0110011","Bloomfield School District","0116311","Global Experience Magnet School",67.1516770058168,76.7334530229549,-9.5817760171381
"40","0120011","Bolton School District","0000000","District",83.3186794724212,85.5755682448032,-2.25688877238196
"41","0120011","Bolton School District","0120111","Bolton Center School",78.6243876741767,82.8050084366186,-4.18062076244193
"42","0120011","Bolton School District","0126111","Bolton High School",87.7261419273413,87.6604357296932,0.0657061976481401
"43","0130011","Bozrah School District","0000000","District",75.5696204742016,83.3806128177623,-7.81099234356074
"44","0130011","Bozrah School District","0130111","Fields Memorial School",75.5270467247874,83.4578518121945,-7.93080508740714
"45","0140011","Branford School District","0000000","District",76.7625382632767,82.2919292582175,-5.52939099494081
"46","0140011","Branford School District","0141411","Mary T. Murphy School",77.2715711112549,89.7399912926044,-12.4684201813495
"47","0140011","Branford School District","0141511","Mary R. Tisko School",89.0391124203514,91.4902524578563,-2.45114003750489
"48","0140011","Branford School District","0141611","John B. Sliney School",82.6037903359831,91.8800054485501,-9.27621511256699
"49","0140011","Branford School District","0145111","Francis Walsh Intermediate School",68.489237034496,77.0434966920042,-8.55425965750823
"50","0140011","Branford School District","0146111","Branford High School",79.3954850043997,75.1312856888789,4.26419931552084
"51","0150011","Bridgeport School District","0000000","District",56.3799877647499,59.2569596633281,-2.87697189857825
"52","0150011","Bridgeport School District","0150111","Barnum School",49.914810776784,57.8407248511123,-7.92591407432828
"53","0150011","Bridgeport School District","0150211","Beardsley School",56.1256787976156,59.4187694025837,-3.29309060496811
"54","0150011","Bridgeport School District","0150311","Black Rock School",68.794647184247,67.3991946937041,1.39545249054292
"55","0150011","Bridgeport School District","0150411","Bryant School",57.3095699676334,55.5132127850439,1.7963571825895
"56","0150011","Bridgeport School District","0150511","Columbus School",58.0124669382419,51.2918976543086,6.72056928393333
"57","0150011","Bridgeport School District","0150611","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",52.4724186978468,49.6193558296146,2.85306286823221
"58","0150011","Bridgeport School District","0150711","Edison School",54.6237665436066,56.4453740792827,-1.82160753567612
"59","0150011","Bridgeport School District","0150811","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",61.9059127762671,54.9866564316747,6.91925634459241
"60","0150011","Bridgeport School District","0151011","Luis Munoz Marin School",43.7366822437024,41.1396673685191,2.59701487518332
"61","0150011","Bridgeport School District","0151111","Hall School",63.3555467584512,62.6310371115615,0.724509646889693
"62","0150011","Bridgeport School District","0151211","Hallen School",60.5538830371923,67.7114439099825,-7.15756087279025
"63","0150011","Bridgeport School District","0151311","Hooker School",62.0902608636275,66.8120938020155,-4.72183293838795
