"Primary Disability (K-12), Trend"
"All Districts, Emotional Disturbance"

"",,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,,"2016-17",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Ansonia School District","""0020011""",20,0.8,6.4,31,1.3,9.2,36,1.4,8.7,31,1.2,6.9,39,1.6,7.8
"Ashford School District","""0030011""","*","*","*",0,0,0,"*","*","*","*","*","*","*","*","*"
"Avon School District","""0040011""",16,0.5,4.5,17,0.5,4.9,17,0.5,5.4,16,0.5,5.5,"*","*","*"
"Barkhamsted School District","""0050011""",0,0,0,0,0,0,"*","*","*","*","*","*","*","*","*"
"Berlin School District","""0070011""",16,0.5,5.4,21,0.7,6.9,26,0.9,8.2,24,0.8,7.2,24,0.8,6.9
"Bethany School District","""0080011""","*","*","*","*","*","*","*","*","*","*","*","*",6,1.7,11.5
"Bethel School District","""0090011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","""0110011""",26,1.2,11.6,21,1.0,8.9,17,0.8,6.1,19,0.9,6.0,18,0.8,5.4
"Bolton School District","""0120011""",7,0.9,8.1,8,1.0,9.4,8,1.0,8.7,6,0.8,6.9,"*","*","*"
"Bozrah School District","""0130011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","""0140011""",58,1.8,12.9,42,1.3,10.0,46,1.5,11.2,41,1.4,9.8,40,1.4,9.6
"Bridgeport School District","""0150011""",254,1.2,9.1,240,1.1,8.5,267,1.2,8.4,274,1.2,8.1,265,1.2,7.4
"Bristol School District","""0170011""",125,1.5,10.1,123,1.5,9.5,128,1.6,9.4,135,1.6,9.8,135,1.7,9.5
"Brookfield School District","""0180011""",22,0.8,7.5,18,0.6,5.7,18,0.7,5.6,"*","*","*",20,0.7,5.7
