"Primary Disability (K-12), Trend"
"All Districts, Intellectual Disability"

"",,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,,"2016-17",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","""0010011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","""0020011""",23,0.9,7.4,18,0.7,5.3,20,0.8,4.8,18,0.7,4.0,17,0.7,3.4
"Ashford School District","""0030011""","*","*","*","*","*","*","*","*","*",0,0,0,0,0,0
"Avon School District","""0040011""",11,0.3,3.1,11,0.3,3.2,9,0.3,2.9,7,0.2,2.4,"*","*","*"
"Berlin School District","""0070011""","*","*","*","*","*","*",6,0.2,1.9,7,0.2,2.1,7,0.2,2.0
"Bethany School District","""0080011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","""0090011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","""0110011""",17,0.8,7.6,15,0.7,6.4,15,0.7,5.4,16,0.7,5.1,15,0.7,4.5
"Bolton School District","""0120011""",6,0.7,7.0,6,0.7,7.1,"*","*","*",7,0.9,8.0,8,1.0,9.3
"Branford School District","""0140011""",21,0.6,4.7,18,0.6,4.3,17,0.5,4.1,17,0.6,4.1,11,0.4,2.7
"Bridgeport School District","""0150011""",128,0.6,4.6,133,0.6,4.7,149,0.7,4.7,162,0.7,4.8,186,0.8,5.2
"Bristol School District","""0170011""",12,0.1,1.0,10,0.1,0.8,6,0.1,0.4,7,0.1,0.5,15,0.2,1.1
"Brookfield School District","""0180011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","""0190011""","*","*","*","*","*","*",6,0.5,4.7,7,0.6,5.5,"*","*","*"
"Canterbury School District","""0220011""",0,0,0,0,0,0,0,0,0,"*","*","*",0,0,0
"Canton School District","""0230011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","""0250011""",24,0.5,5.2,26,0.6,5.6,27,0.6,5.7,26,0.6,5.4,26,0.6,5.3
"Chester School District","""0260011""","*","*","*",0,0,0,"*","*","*","*","*","*",0,0,0
"Clinton School District","""0270011""","*","*","*",7,0.4,3.4,7,0.4,3.5,11,0.6,5.4,10,0.6,4.7
"Colchester School District","""0280011""",16,0.6,4.6,15,0.5,4.2,17,0.6,4.7,13,0.5,3.5,9,0.4,2.5
"Colebrook School District","""0290011""","*","*","*","*","*","*","*","*","*",0,0,0,0,0,0
"Columbia School District","""0300011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","""9000016""","*","*","*","*","*","*",0,0,0,"*","*","*","*","*","*"
"Coventry School District","""0320011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","""0330011""",9,0.4,4.5,9,0.4,4.4,9,0.4,4.2,6,0.3,2.7,6,0.3,2.6
"Danbury School District","""0340011""",49,0.5,4.4,50,0.5,4.2,54,0.5,4.4,56,0.5,4.3,59,0.5,4.5
"Darien School District","""0350011""",9,0.2,1.5,10,0.2,1.9,11,0.2,2.0,11,0.2,1.9,12,0.3,1.9
"Deep River School District","""0360011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","""0370011""",7,0.4,3.7,7,0.4,3.4,7,0.5,3.3,"*","*","*","*","*","*"
"East Granby School District","""0400011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","""0410011""",10,0.8,6.3,7,0.6,4.0,"*","*","*",8,0.7,4.9,8,0.8,5.9
"East Hampton School District","""0420011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","""0430011""",37,0.5,3.4,34,0.4,3.0,36,0.5,3.3,38,0.5,3.3,43,0.6,3.6
"East Haven School District","""0440011""",15,0.4,3.4,12,0.4,2.8,14,0.4,3.3,19,0.6,4.3,20,0.6,4.5
"East Lyme School District","""0450011""",8,0.3,2.5,8,0.3,2.4,9,0.3,2.6,8,0.3,2.4,6,0.2,1.7
"East Windsor School District","""0470011""",11,0.8,5.4,12,0.9,6.1,13,1.0,6.0,11,0.9,5.8,6,0.5,3.2
"Eastford School District","""0390011""","*","*","*","*","*","*",0,0,0,0,0,0,0,0,0
"Easton School District","""0460011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","""0480011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","""0490011""",34,0.6,4.6,27,0.5,3.6,27,0.5,3.5,24,0.4,3.1,24,0.4,3.0
"Fairfield School District","""0510011""",28,0.3,2.5,28,0.3,2.6,35,0.3,3.2,31,0.3,2.9,32,0.3,2.9
"Farmington School District","""0520011""",15,0.4,3.4,16,0.4,3.7,15,0.4,3.2,13,0.3,2.7,14,0.3,2.9
"Franklin School District","""0530011""","*","*","*","*","*","*","*","*","*","*","*","*",0,0,0
"Glastonbury School District","""0540011""",16,0.2,2.6,19,0.3,3.1,17,0.3,2.8,16,0.3,2.5,17,0.3,2.6
"Granby School District","""0560011""","*","*","*","*","*","*","*","*","*",7,0.4,3.3,7,0.4,3.2
"Greenwich School District","""0570011""",25,0.3,2.9,27,0.3,3.2,24,0.3,2.7,23,0.3,2.6,30,0.3,3.2
"Griswold School District","""0580011""","*","*","*",7,0.4,2.8,7,0.4,2.8,9,0.5,3.7,7,0.4,3.0
"Groton School District","""0590011""",40,0.8,5.7,35,0.7,4.8,36,0.7,5.0,33,0.7,4.5,30,0.6,4.1
"Guilford School District","""0600011""",16,0.4,4.4,16,0.5,4.3,20,0.6,5.1,19,0.6,4.8,20,0.6,4.7
"Hamden School District","""0620011""",26,0.4,3.2,24,0.4,2.7,29,0.4,3.1,32,0.5,3.1,42,0.7,3.9
"Hampton School District","""0630011""","*","*","*","*","*","*","*","*","*","*","*","*",0,0,0
"Hartford School District","""0640011""",161,0.8,4.8,169,0.8,4.9,164,0.8,4.6,184,0.9,4.9,200,1.0,5.1
"Hartland School District","""0650011""",0,0,0,"*","*","*","*","*","*","*","*","*","*","*","*"
"Hebron School District","""0670011""",0,0,0,0,0,0,"*","*","*","*","*","*","*","*","*"
"Kent School District","""0680011""","*","*","*","*","*","*","*","*","*",0,0,0,0,0,0
"Killingly School District","""0690011""",18,0.7,4.9,18,0.8,4.8,20,0.9,5.0,18,0.8,4.6,19,0.8,4.9
"Lebanon School District","""0710011""",11,1.0,7.3,12,1.1,7.7,8,0.8,5.1,8,0.8,5.6,6,0.6,4.5
"Ledyard School District","""0720011""","*","*","*","*","*","*","*","*","*","*","*","*",6,0.3,1.5
"Lisbon School District","""0730011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","""0740011""","*","*","*","*","*","*",0,0,0,0,0,0,0,0,0
"Madison School District","""0760011""",8,0.2,2.3,8,0.2,2.2,9,0.3,2.5,9,0.3,2.5,12,0.4,3.3
"Manchester School District","""0770011""",20,0.3,2.1,17,0.2,1.9,22,0.3,2.5,23,0.3,2.6,29,0.4,3.1
"Mansfield School District","""0780011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Marlborough School District","""0790011""","*","*","*",0,0,0,0,0,0,"*","*","*","*","*","*"
"Meriden School District","""0800011""",52,0.6,4.0,56,0.6,4.0,59,0.7,4.0,60,0.7,4.0,61,0.7,3.9
"Middletown School District","""0830011""",33,0.6,5.6,31,0.6,5.1,35,0.7,5.5,34,0.7,5.3,37,0.8,5.8
"Milford School District","""0840011""",16,0.2,1.9,10,0.2,1.2,11,0.2,1.4,12,0.2,1.6,14,0.2,1.9
"Monroe School District","""0850011""",18,0.5,4.9,15,0.4,4.2,16,0.5,4.6,19,0.6,5.4,17,0.5,4.9
"Montville School District","""0860011""",10,0.4,3.5,"*","*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","""0880011""",23,0.5,4.0,22,0.5,3.6,23,0.5,3.6,27,0.6,4.0,26,0.6,3.9
"New Britain School District","""0890011""",92,0.8,5.7,94,0.9,5.7,100,0.9,5.9,89,0.8,5.1,96,0.9,5.1
"New Canaan School District","""0900011""","*","*","*",6,0.1,1.7,"*","*","*","*","*","*","*","*","*"
"New Fairfield School District","""0910011""",7,0.3,2.6,7,0.3,2.7,8,0.3,3.3,7,0.3,3.0,6,0.3,2.7
"New Hartford School District","""0920011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","""0930011""",148,0.8,6.3,170,0.9,7.0,182,0.9,6.9,185,0.9,6.7,212,1.0,7.2
"New London School District","""0950011""",27,0.8,4.3,30,0.9,4.6,36,1.0,5.4,35,1.0,5.3,34,1.0,5.2
"New Milford School District","""0960011""",17,0.4,2.9,18,0.4,3.1,15,0.4,2.7,13,0.3,2.3,15,0.4,2.7
"Newington School District","""0940011""",19,0.4,3.5,16,0.4,3.0,16,0.4,3.0,18,0.4,3.5,16,0.4,3.1
"Newtown School District","""0970011""",14,0.3,3.5,14,0.3,3.4,16,0.3,3.7,16,0.3,3.4,15,0.3,3.0
"North Branford School District","""0990011""",12,0.6,4.3,13,0.6,4.5,12,0.6,4.2,13,0.7,4.7,12,0.6,4.7
"North Canaan School District","""1000011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","""1010011""",17,0.5,4.8,18,0.5,4.9,17,0.5,4.4,18,0.6,5.0,16,0.5,4.5
"North Stonington School District","""1020011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwalk School District","""1030011""",29,0.3,2.4,37,0.3,3.0,36,0.3,2.7,40,0.3,2.8,45,0.4,2.9
"Norwich School District","""1040011""",43,0.8,4.8,48,0.9,5.5,51,0.9,5.6,38,0.7,4.4,40,0.7,4.2
"Old Saybrook School District","""1060011""","*","*","*","*","*","*",6,0.4,3.0,"*","*","*","*","*","*"
"Orange School District","""1070011""","*","*","*","*","*","*","*","*","*","*","*","*",0,0,0
"Oxford School District","""1080011""",7,0.3,4.5,7,0.3,3.4,7,0.3,3.0,7,0.3,2.9,7,0.4,2.9
"Plainfield School District","""1090011""",15,0.6,5.1,12,0.5,4.3,16,0.7,5.2,15,0.7,5.0,13,0.6,4.3
"Plainville School District","""1100011""","*","*","*","*","*","*","*","*","*",7,0.3,2.3,7,0.3,2.4
"Plymouth School District","""1110011""",6,0.3,2.4,6,0.4,2.6,"*","*","*",7,0.4,3.0,"*","*","*"
"Pomfret School District","""1120011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","""1130011""","*","*","*",0,0,0,"*","*","*","*","*","*","*","*","*"
"Preston School District","""1140011""","*","*","*","*","*","*","*","*","*","*","*","*",0,0,0
"Putnam School District","""1160011""",18,1.5,10.3,16,1.4,8.4,14,1.2,7.8,13,1.1,6.8,13,1.2,6.6
"Regional School District 01","""2010012""","*","*","*","*","*","*",0,0,0,"*","*","*","*","*","*"
"Regional School District 04","""2040012""","*","*","*","*","*","*","*","*","*","*","*","*",8,0.8,5.4
"Regional School District 05","""2050012""",9,0.4,3.2,10,0.4,3.7,11,0.5,4.1,9,0.4,3.2,11,0.5,4.0
"Regional School District 06","""2060012""",8,0.9,7.2,"*","*","*","*","*","*",9,1.1,7.6,"*","*","*"
"Regional School District 07","""2070012""",6,0.6,5.3,6,0.6,5.0,"*","*","*",7,0.7,5.8,"*","*","*"
"Regional School District 08","""2080012""",6,0.3,2.6,10,0.5,4.5,10,0.6,4.5,8,0.5,4.0,6,0.4,3.0
"Regional School District 09","""2090012""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 10","""2100012""",9,0.3,3.4,10,0.4,4.0,7,0.3,2.8,7,0.3,2.8,7,0.3,2.8
"Regional School District 11","""2110012""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","""2120012""",6,0.7,4.8,6,0.8,4.8,"*","*","*","*","*","*","*","*","*"
"Regional School District 13","""2130012""","*","*","*","*","*","*",11,0.6,4.2,13,0.8,5.2,14,0.8,5.7
"Regional School District 14","""2140012""",9,0.5,4.5,8,0.5,4.3,"*","*","*","*","*","*","*","*","*"
"Regional School District 15","""2150012""","*","*","*","*","*","*","*","*","*",8,0.2,1.6,7,0.2,1.3
"Regional School District 16","""2160012""",9,0.4,3.4,7,0.3,2.4,8,0.3,2.5,8,0.4,2.5,8,0.4,2.7
"Regional School District 17","""2170012""",6,0.3,1.9,6,0.3,1.9,"*","*","*",6,0.3,1.7,7,0.3,2.0
"Regional School District 18","""2180012""",9,0.6,5.7,9,0.6,5.6,8,0.6,4.8,7,0.5,4.4,7,0.5,4.4
"Regional School District 19","""2190012""",12,1.1,6.9,9,0.9,5.4,6,0.6,3.6,"*","*","*",8,0.9,5.1
"Ridgefield School District","""1180011""",10,0.2,2.2,10,0.2,2.2,11,0.2,2.4,8,0.2,1.8,11,0.2,2.3
"Rocky Hill School District","""1190011""","*","*","*",7,0.3,3.1,7,0.3,2.9,9,0.3,3.4,8,0.3,3.0
"Salem School District","""1210011""","*","*","*","*","*","*","*","*","*","*","*","*",6,1.0,5.7
"Scotland School District","""1230011""",0,0,0,"*","*","*","*","*","*","*","*","*","*","*","*"
"Seymour School District","""1240011""",9,0.4,3.7,9,0.4,3.5,7,0.3,2.6,7,0.3,2.6,6,0.3,2.1
"Sharon School District","""1250011""",0,0,0,"*","*","*","*","*","*","*","*","*","*","*","*"
"Shelton School District","""1260011""",13,0.3,2.3,13,0.3,2.1,15,0.3,2.4,19,0.4,2.9,28,0.6,4.2
"Sherman School District","""1270011""","*","*","*","*","*","*","*","*","*","*","*","*",0,0,0
"Simsbury School District","""1280011""",18,0.4,3.4,16,0.4,3.0,19,0.4,3.4,27,0.6,4.9,28,0.7,5.0
"Somers School District","""1290011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"South Windsor School District","""1320011""",12,0.3,2.2,12,0.3,2.2,14,0.3,2.6,14,0.3,2.6,12,0.3,2.2
"Southington School District","""1310011""",17,0.3,2.2,16,0.2,2.0,10,0.2,1.3,9,0.1,1.2,10,0.2,1.2
"Sprague School District","""1330011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stafford School District","""1340011""",6,0.4,3.3,"*","*","*","*","*","*","*","*","*","*","*","*"
"Stamford School District","""1350011""",56,0.4,3.7,59,0.4,3.6,68,0.4,3.9,64,0.4,3.5,66,0.4,3.4
"Sterling School District","""1360011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stonington School District","""1370011""",11,0.5,3.6,11,0.5,3.6,11,0.5,3.3,11,0.5,3.3,11,0.5,3.4
"Stratford School District","""1380011""",38,0.5,5.3,33,0.4,4.4,32,0.4,4.1,32,0.4,3.8,37,0.5,4.2
"Suffield School District","""1390011""",9,0.4,3.6,6,0.3,2.5,"*","*","*",7,0.3,2.8,7,0.3,2.6
"Thomaston School District","""1400011""",6,0.5,4.2,6,0.6,4.3,6,0.6,4.4,"*","*","*","*","*","*"
"Thompson School District","""1410011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Tolland School District","""1420011""",10,0.3,3.2,8,0.3,2.7,11,0.4,3.5,12,0.5,3.9,11,0.4,3.6
"Torrington School District","""1430011""",15,0.3,2.1,15,0.3,2.0,19,0.4,2.5,19,0.4,2.3,22,0.5,2.7
"Trumbull School District","""1440011""",27,0.4,4.5,24,0.4,4.0,23,0.4,3.6,18,0.3,2.7,21,0.3,2.9
"Unified School District #1","""3360015""","*","*","*","*","*","*",6,1.5,3.4,"*","*","*","*","*","*"
"Unified School District #2","""3470015""","*","*","*","*","*","*","*","*","*",0,0,0,"*","*","*"
"Vernon School District","""1460011""",21,0.6,4.7,21,0.6,4.5,24,0.7,4.8,20,0.6,3.9,24,0.7,4.4
"Voluntown School District","""1470011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","""1480011""",21,0.3,2.7,23,0.4,3.2,22,0.4,3.2,24,0.4,3.5,25,0.4,3.5
"Waterbury School District","""1510011""",108,0.6,3.7,103,0.6,3.3,110,0.6,3.4,111,0.6,3.4,110,0.6,3.3
"Waterford School District","""1520011""",15,0.5,4.2,15,0.5,4.0,15,0.6,3.8,12,0.4,3.1,12,0.4,3.1
"Watertown School District","""1530011""",18,0.6,5.2,17,0.6,4.9,16,0.6,4.7,15,0.5,4.3,15,0.5,4.2
"West Hartford School District","""1550011""",29,0.3,2.7,31,0.3,2.7,28,0.3,2.4,28,0.3,2.4,29,0.3,2.4
"West Haven School District","""1560011""",21,0.3,2.4,23,0.3,2.5,19,0.3,2.0,20,0.3,2.0,20,0.3,1.9
"Westbrook School District","""1540011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Weston School District","""1570011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Westport School District","""1580011""",6,0.1,1.0,7,0.1,1.3,"*","*","*","*","*","*","*","*","*"
"Wethersfield School District","""1590011""",15,0.4,3.3,13,0.3,2.7,15,0.4,2.9,14,0.4,2.7,14,0.4,2.6
"Willington School District","""1600011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wilton School District","""1610011""","*","*","*","*","*","*","*","*","*","*","*","*",7,0.2,1.3
