"Primary Disability (K-12), Trend"
"All Districts, Other Health Impairment"

"",,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,,"2016-17",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","""0010011""","*","*","*",7,2.5,36.8,7,2.8,46.7,"*","*","*","*","*","*"
"Ansonia School District","""0020011""",77,3.0,24.7,80,3.2,23.7,96,3.8,23.1,106,4.2,23.6,114,4.6,22.9
"Ashford School District","""0030011""",12,3.0,24.0,14,3.6,29.8,12,3.2,25.5,12,3.3,27.3,11,3.0,24.4
"Avon School District","""0040011""",76,2.2,21.3,72,2.1,20.7,63,1.9,20.1,54,1.6,18.6,66,2.0,21.0
"Barkhamsted School District","""0050011""","*","*","*","*","*","*",7,2.3,18.9,"*","*","*",8,3.4,18.2
"Berlin School District","""0070011""",58,1.9,19.4,56,1.8,18.4,53,1.8,16.8,57,1.9,17.0,54,1.9,15.5
"Bethany School District","""0080011""",8,1.7,14.8,10,2.4,19.2,10,2.6,18.2,7,1.9,14.6,"*","*","*"
"Bethel School District","""0090011""",54,1.8,16.9,62,2.1,19.6,61,2.1,18.9,58,2.0,18.3,59,2.0,17.5
"Bloomfield School District","""0110011""",24,1.1,10.7,33,1.6,14.0,45,2.1,16.2,50,2.3,15.9,54,2.5,16.3
"Bolton School District","""0120011""",27,3.3,31.4,23,2.8,27.1,28,3.5,30.4,25,3.2,28.7,18,2.3,20.9
"Bozrah School District","""0130011""",7,2.1,17.5,"*","*","*","*","*","*",8,2.7,24.2,7,2.4,23.3
"Branford School District","""0140011""",106,3.2,23.7,104,3.2,24.8,107,3.5,26.0,111,3.7,26.6,110,3.7,26.5
"Bridgeport School District","""0150011""",450,2.1,16.2,484,2.2,17.2,558,2.5,17.6,596,2.6,17.7,652,2.8,18.1
"Bristol School District","""0170011""",301,3.6,24.4,317,3.8,24.5,328,4.0,24.1,327,4.0,23.7,335,4.1,23.6
"Brookfield School District","""0180011""",71,2.5,24.3,83,3.0,26.3,81,3.0,25.1,76,2.8,22.7,64,2.4,18.4
"Brooklyn School District","""0190011""",22,1.8,15.5,22,1.9,15.6,16,1.4,12.6,11,1.0,8.6,18,1.6,12.4
"Canaan School District","""0210011""","*","*","*","*","*","*","*","*","*","*","*","*",0,0,0
"Canterbury School District","""0220011""",18,2.6,26.9,19,2.9,28.4,17,2.6,23.9,15,2.3,21.7,20,3.2,26.3
"Canton School District","""0230011""",38,2.2,24.7,38,2.2,23.0,35,2.1,20.1,36,2.2,19.9,37,2.2,20.6
"Chaplin School District","""0240011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","""0250011""",123,2.7,26.6,115,2.5,24.6,119,2.6,25.2,129,2.9,26.7,136,3.1,27.9
"Chester School District","""0260011""",9,3.6,20.9,7,3.1,20.0,"*","*","*","*","*","*","*","*","*"
"Clinton School District","""0270011""",40,2.0,20.4,49,2.5,24.1,50,2.6,24.8,50,2.7,24.5,51,2.9,24.2
"Colchester School District","""0280011""",51,1.8,14.8,59,2.1,16.3,54,2.0,15.0,56,2.2,15.3,66,2.6,18.0
"Colebrook School District","""0290011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","""0300011""",18,2.5,26.1,19,2.7,27.5,23,3.3,30.7,30,4.4,33.0,24,3.5,24.7
"Connecticut Technical High School System","""9000016""",208,2.0,26.1,227,2.1,25.8,248,2.3,25.7,271,2.5,26.6,265,2.5,26.6
"Cornwall School District","""0310011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","""0320011""",24,1.3,11.4,30,1.7,14.1,35,2.0,17.1,39,2.3,18.8,38,2.3,17.7
"Cromwell School District","""0330011""",21,1.0,10.6,24,1.2,11.7,32,1.6,15.0,31,1.5,14.0,43,2.1,18.5
"Danbury School District","""0340011""",171,1.7,15.2,181,1.7,15.1,192,1.8,15.5,205,1.9,15.7,223,2.0,16.9
"Darien School District","""0350011""",155,3.2,26.6,148,3.0,28.4,159,3.3,28.8,180,3.7,30.7,190,4.0,30.8
"Deep River School District","""0360011""",8,2.3,19.5,9,2.7,20.9,14,4.4,29.2,14,4.6,32.6,8,2.8,21.6
"Department of Mental Health and Addiction Services","""3370015""",0,0,0,0,0,0,"*","*","*","*","*","*","*","*","*"
"Derby School District","""0370011""",28,1.8,14.9,45,2.8,22.0,51,3.3,23.9,45,3.0,21.7,51,3.5,23.5
"East Granby School District","""0400011""",17,1.9,18.7,12,1.3,14.3,15,1.7,16.1,15,1.7,15.0,19,2.1,18.1
"East Haddam School District","""0410011""",25,2.0,15.6,26,2.2,14.9,25,2.2,14.7,24,2.2,14.8,18,1.7,13.2
"East Hampton School District","""0420011""",22,1.1,14.5,21,1.1,13.6,24,1.3,15.4,25,1.3,15.7,34,1.8,18.0
"East Hartford School District","""0430011""",204,2.6,18.7,232,3.0,20.8,231,2.9,20.9,255,3.3,22.2,273,3.6,22.7
"East Haven School District","""0440011""",85,2.4,19.2,80,2.4,18.4,72,2.2,16.9,75,2.3,17.1,81,2.5,18.2
"East Lyme School District","""0450011""",79,2.9,24.2,78,2.9,23.3,76,2.9,22.2,75,2.9,22.9,86,3.3,24.6
"East Windsor School District","""0470011""",35,2.6,17.2,33,2.5,16.7,30,2.4,13.8,27,2.3,14.1,26,2.3,13.9
"Eastford School District","""0390011""",7,3.3,25.0,"*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","""0460011""",16,1.6,21.3,15,1.6,17.6,11,1.2,12.4,16,1.8,18.8,18,2.1,20.2
"Ellington School District","""0480011""",34,1.2,11.8,28,1.0,9.5,34,1.3,11.8,49,1.8,16.6,58,2.1,18.4
"Enfield School District","""0490011""",101,1.8,13.5,103,1.9,13.7,107,2.0,14.0,108,2.0,13.9,120,2.2,14.8
"Essex School District","""0500011""",12,2.5,27.3,7,1.5,15.6,7,1.7,11.9,8,2.2,14.8,8,2.4,15.4
"Fairfield School District","""0510011""",254,2.5,23.0,250,2.4,23.1,254,2.5,23.2,260,2.6,24.4,277,2.8,24.8
"Farmington School District","""0520011""",103,2.5,23.5,108,2.7,24.8,102,2.5,21.9,104,2.6,21.8,109,2.7,22.3
"Franklin School District","""0530011""",8,2.9,24.2,6,2.3,17.6,6,2.4,18.8,9,3.7,29.0,7,2.9,28.0
"Glastonbury School District","""0540011""",163,2.4,26.9,171,2.6,27.9,152,2.4,24.6,154,2.5,24.1,144,2.4,22.4
"Granby School District","""0560011""",43,2.1,23.5,51,2.5,26.6,59,3.0,29.6,67,3.5,31.2,59,3.2,27.1
"Greenwich School District","""0570011""",171,2.0,19.7,156,1.8,18.3,146,1.7,16.6,163,1.9,18.3,178,2.0,19.1
