"Educator Race/Ethnicity Report for 2002-03"

"District","School","Race","Count","% of Total"
"Amistad Academy District","Amistad Academy","American Indian",1,5.0
,,"Black or African American",3,15.0
,,"Hispanic",2,10.0
,,"White",14,70.0
"Andover School District","Andover Elementary School","White",33,100.0
"Ansonia School District","Ansonia High School","Black or African American",1,2.0
,,"Hispanic",1,2.0
,,"White",48,96.0
,"Ansonia Middle School","Black or African American",4,8.9
,,"White",41,91.1
,"Mead School","Black or African American",1,2.6
,,"White",37,94.9
,,"Asian",1,2.6
,"Prendergast School","White",47,100.0
"Area Cooperative Educational Services","A. C. E. S. Special Education Town Campus Learning Center","Black or African American",4,2.9
,,"Hispanic",2,1.4
,,"White",132,95.7
,"Collaborative Alternative Magnet School","Black or African American",1,7.7
,,"Hispanic",1,7.7
,,"White",11,84.6
,"Thomas Edison Magnet Middle School","Black or African American",6,8.2
,,"Hispanic",4,5.5
,,"White",63,86.3
,"Wintergreen Interdistrict Magnet School","Black or African American",4,7.1
,,"Hispanic",2,3.6
,,"White",50,89.3
"Ashford School District","Ashford School","White",49,100.0
"Avon School District","Avon High School","White",78,100.0
,"Avon Middle School","White",56,100.0
,"Pine Grove School","White",47,100.0
,"Roaring Brook School","White",52,100.0
,"Thompson Brook School","Black or African American",1,2.3
,,"White",43,97.7
"Barkhamsted School District","Barkhamsted Elementary School","White",32,100.0
"Berlin School District","Berlin High School","Hispanic",2,2.2
,,"White",90,97.8
,"Catherine M. McGee Middle School","White",71,98.6
,,"Asian",1,1.4
,"Emma Hart Willard School","White",50,100.0
,"Mary E. Griswold School","Black or African American",1,2.1
,,"White",46,97.9
,"Richard D. Hubbard School","White",27,100.0
"Bethany School District","Bethany Community School","White",47,100.0
"Bethel School District","Anna H. Rockwell School","Black or African American",1,2.7
,,"White",36,97.3
,"Bethel High School","White",71,100.0
,"Bethel Middle School","Hispanic",2,2.7
,,"White",72,97.3
,"Frank A. Berry School","Black or African American",1,2.4
,,"Hispanic",1,2.4
,,"White",39,95.1
,"Ralph M. T. Johnson School","White",47,100.0
"Bloomfield School District","Bloomfield High School","Black or African American",17,22.7
,,"Hispanic",2,2.7
,,"White",54,72.0
,,"Asian",2,2.7
,"Carmen Arace Middle School","Black or African American",21,29.6
,,"White",49,69.0
,,"Asian",1,1.4
,"J. P. Vincent School","Black or African American",8,21.1
,,"Hispanic",1,2.6
,,"White",29,76.3
,"Laurel School","Black or African American",5,16.7
,,"White",25,83.3
,"Metacomet School","Black or African American",6,22.2
,,"White",21,77.8
"Bolton School District","Bolton Center School","Hispanic",1,1.5
,,"White",65,97.0
,,"Asian",1,1.5
,"Bolton High School","White",35,100.0
"Bozrah School District","Fields Memorial School","Hispanic",1,3.6
,,"White",27,96.4
"Branford School District","Branford High School","Black or African American",1,1.0
,,"Hispanic",3,3.0
,,"White",97,96.0
,"Francis Walsh Intermediate School","White",100,99.0
,,"Asian",1,1.0
,"Indian Neck School","White",5,100.0
,"John B. Sliney School","Black or African American",1,2.9
,,"White",34,97.1
,"Mary R. Tisko School","White",38,100.0
,"Mary T. Murphy School","Black or African American",1,2.5
,,"White",39,97.5
"Bridgeport School District","Barnum School","Black or African American",3,8.1
,,"Hispanic",10,27.0
,,"White",23,62.2
,,"Asian",1,2.7
,"Bassick High School","Black or African American",15,16.0
,,"Hispanic",6,6.4
,,"White",72,76.6
,,"Asian",1,1.1
,"Beardsley School","Black or African American",4,8.7
,,"Hispanic",1,2.2
,,"White",40,87.0
,,"Asian",1,2.2
,"Black Rock School","Black or African American",5,17.9
,,"Hispanic",2,7.1
,,"White",21,75.0
,"Blackham School","Black or African American",11,12.4
,,"Hispanic",4,4.5
