"Four-Year Graduation Rates, Trend"
"All Districts, All Schools, Special Education Status"

"",,,"Graduates",,,,
"",,,"Four-Year Graduation Rate by Year",,,,
"District","School","Special Education Status","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Non-Special Education","N/A","N/A","N/A","N/A","*"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Special Education","N/A","N/A","N/A","N/A","*"
"Amistad Academy District","Amistad Academy","Non-Special Education",71.4,"*","*","*",90.0
"Amistad Academy District","Amistad Academy","Special Education","N/A","*","*","*","N/A"
"Ansonia School District","Ansonia High School","Non-Special Education",77.8,77.0,82.8,91.3,"*"
"Ansonia School District","Ansonia High School","Special Education",66.7,68.2,"*","*","*"
"Avon School District","Avon High School","Non-Special Education",98.0,97.4,"*","*",99.0
"Avon School District","Avon High School","Special Education",86.1,90.3,"*","*",87.1
"Berlin School District","Berlin High School","Non-Special Education",96.9,97.1,98.0,96.6,97.7
"Berlin School District","Berlin High School","Special Education",86.8,87.5,78.1,80.6,74.1
"Bethel School District","Bethel High School","Non-Special Education",97.1,96.2,94.4,97.3,97.7
"Bethel School District","Bethel High School","Special Education",77.8,61.9,80.6,85.7,84.4
"Bloomfield School District","Bloomfield High School","Non-Special Education",85.4,92.9,93.3,93.6,96.2
"Bloomfield School District","Bloomfield High School","Special Education","*","*","*",56.5,"*"
"Bloomfield School District","Global Experience Magnet School","Non-Special Education","N/A","*","*",100.0,"*"
"Bloomfield School District","Global Experience Magnet School","Special Education","N/A","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-Special Education","N/A","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Special Education","N/A","*","*","*","*"
"Bloomfield School District","The Big Picture High School","Non-Special Education","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","The Big Picture High School","Special Education","*","N/A","N/A","N/A","N/A"
"Bolton School District","Bolton High School","Non-Special Education","*","*","*","*","*"
"Bolton School District","Bolton High School","Special Education","*","*","*","*","*"
"Branford School District","Branford High School","Non-Special Education",95.5,94.1,93.7,94.3,98.6
"Branford School District","Branford High School","Special Education",92.6,83.9,87.5,73.1,71.9
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","Non-Special Education","N/A","N/A","N/A","*","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","Special Education","N/A","N/A","N/A","*","*"
"Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","Non-Special Education","N/A","N/A","N/A","N/A",83.6
