"District","reportingsdistrictcode","School","School Code","Count","%"
"Bristol School District",".","Alternative Special Education Program (ASEP)","=""0179011""","*","*"
"Bristol School District",".","Bristol Central High School","=""0176111""",159,12.7
"Bristol School District",".","Bristol Eastern High School","=""0176211""",217,16.8
"Bristol School District",".","Chippens Hill Middle School","=""0175111""",97,13.0
"Bristol School District",".","Community/Vocational Program","=""0179211""","N/A","*"
"Bristol School District",".","Edgewood School","=""0170311""",16,4.5
"Bristol School District",".","Ellen P. Hubbell School","=""0171411""",16,3.6
"Bristol School District",".","Greene-Hills School","=""0170511""",55,6.2
"Bristol School District",".","Ivy Drive School","=""0171911""",7,1.6
"Bristol School District",".","Mountain View School","=""0171711""",25,5.8
"Bristol School District",".","Northeast Middle School","=""0175211""",31,6.1
"Bristol School District",".","South Side School","=""0171111""",13,2.6
"Bristol School District",".","Stafford School","=""0171211""",16,3.0
"Bristol School District",".","West Bristol School","=""0172011""",59,6.4
"East Haven School District",".","Carbone School/East Haven Academy","=""0441711""",17,6.1
"East Haven School District",".","D. C. Moore School","=""0441411""","N/A","N/A"
"East Haven School District",".","Deer Run School","=""0440111""","*","*"
"East Haven School District",".","Dominick H. Ferrara School","=""0441311""","N/A","N/A"
"East Haven School District",".","East Haven High School","=""0446111""",165,18.2
"East Haven School District",".","Grove J. Tuttle School","=""0441011""","N/A","N/A"
"East Haven School District",".","Joseph Melillo Middle School","=""0445111""",85,14.2
"East Haven School District",".","Momauguin School","=""0440711""","N/A","N/A"
"East Haven School District",".","Overbrook Elementary School","=""0441811""","N/A","N/A"
"East Haven School District",".","Pathways","=""0449011""","*","*"
"East Lyme School District",".","East Lyme High School","=""0456111""",33,2.9
"East Lyme School District",".","East Lyme Middle School","=""0455111""",54,6.2
"East Lyme School District",".","Flanders School","=""0450111""","N/A","N/A"
"East Lyme School District",".","Integrated Preschool","=""0458011""","N/A","N/A"
"East Lyme School District",".","Lillie B. Haynes School","=""0450411""","N/A","N/A"
"East Lyme School District",".","Niantic Center School","=""0450211""","*","*"
"Easton School District",".","Helen Keller Middle School","=""0465111""","*","*"
"Easton School District",".","Samuel Staples Elementary School","=""0460111""","*","*"
"Hamden School District",".","Alice Peck Learning Center","=""0628011""","*","*"
"Hamden School District",".","Bear Path School","=""0621211""","*","*"
"Hamden School District",".","Church Street School","=""0620211""",24,6.2
"Hamden School District",".","Dunbar Hill School","=""0620311""","*","*"
"Hamden School District",".","Hamden High School","=""0626111""",360,19.7
"Hamden School District",".","Hamden Middle School","=""0625211""",180,19.9
"Hamden School District",".","Helen Street School","=""0620411""",7,2.4
"Hamden School District",".","Ridge Hill School","=""0621111""",20,6.1
"Hamden School District",".","Shepherd Glen School","=""0620111""",7,2.1
"Hamden School District",".","Spring Glen School","=""0621011""",20,4.6
"Hamden School District",".","West Woods School","=""0621411""","*","*"
"Hampton School District",".","Hampton Elementary School","=""0630111""","N/A","N/A"
"Hartford School District",".","Asian Studies Academy","=""0640711""",139,23.6
"Hartford School District",".","Batchelder School","=""0640411""",109,18.9
"Hartford School District",".","Breakthrough II Elementary School","=""0643511""","*","*"
"Hartford School District",".","Breakthrough Magnet School","=""0643311""",6,1.7
"Hartford School District",".","Bulkeley High School Lower School","=""0646111""",76,14.0
"Hartford School District",".","Bulkeley High School Upper School","=""0647111""",75,19.7
"Hartford School District",".","Burns Latino Studies Academy","=""0640611""",264,43.3
"Hartford School District",".","Burr School","=""0642311""",103,13.7
"Hartford School District",".","Capital Preparatory Magnet School","=""0646911""",70,10.4
"Hartford School District",".","Clark School","=""0642411""",46,11.7
"Hartford School District",".","Classical Magnet School","=""0646411""",158,22.9
"Hartford School District",".","Culinary Arts Academy","=""0646011""",149,46.3
"Hartford School District",".","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""",36,5.2
"Hartford School District",".","Dr. Joseph Bellizzi Middle School","=""0645311""",26,40.6
"Hartford School District",".","Dr. Ramon E. Betances Early Reading Lab","=""0642811""","*","*"
"Hartford School District",".","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""",72,12.7
"Hartford School District",".","Expeditionary Learning Academy at Moylan School","=""0643211""",45,6.3
"Hartford School District",".","Fred D. Wish Museum School","=""0642211""",20,5.2
"Hartford School District",".","Global Communications Academy","=""0643611""",67,16.6
"Hartford School District",".","Great Path Academy High School at MCC","=""0647911""",72,27.3
"Hartford School District",".","HPHS Academy of Engineering and Green Technology","=""0647211""",173,40.0
"Hartford School District",".","HPHS Academy of Nursing and Health Science","=""0647511""",177,38.1
"Hartford School District",".","HPHS Law and Government Academy","=""0647411""",88,16.7
"Hartford School District",".","Hartford Magnet Trinity College Academy","=""0645411""",90,11.2
"Hartford School District",".","Hartford Transitional Learning Academy (Elementary)","=""0649011""",13,35.1
"Hartford School District",".","High School Inc.","=""0647611""",82,22.8
"Hartford School District",".","Journalism and Media Academy Magnet School","=""0647711""",118,55.7
"Hartford School District",".","Kennelly School","=""0641011""",127,17.6
"Hartford School District",".","M. D. Fox Elementary School","=""0640811""",123,24.2
"Hartford School District",".","M. L. King School","=""0641611""",76,18.0
"Hartford School District",".","McDonough Expeditionary Learning School","=""0641211""",112,29.2
