"District","District Code","School","School Code","Race/Ethnicity","Count","%"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","American Indian or Alaska Native","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Asian","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Black or African American",49,41.2
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Hispanic/Latino of any race",42,42.4
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Two or More Races","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","White",22,20.0
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","American Indian or Alaska Native","N/A","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Asian","*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Black or African American",36,18.6
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Hispanic/Latino of any race",51,11.6
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Two or More Races","N/A","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","White","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","American Indian or Alaska Native","N/A","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Asian","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Black or African American",202,43.5
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Hispanic/Latino of any race",161,35.1
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Native Hawaiian or Other Pacific Islander","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Two or More Races","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","White",16,30.2
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","American Indian or Alaska Native","N/A","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Asian","N/A","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Black or African American",23,16.2
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Hispanic/Latino of any race","*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Two or More Races","*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","White","N/A","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","American Indian or Alaska Native","N/A","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Asian","N/A","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Black or African American","*","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Hispanic/Latino of any race","*","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Two or More Races","N/A","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","White","N/A","N/A"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Asian","N/A","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Black or African American","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Hispanic/Latino of any race","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Two or More Races","N/A","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","White","N/A","N/A"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","American Indian or Alaska Native","N/A","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Asian","*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Black or African American",25,7.3
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Hispanic/Latino of any race",24,4.4
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Two or More Races","*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","White","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Asian","N/A","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Black or African American","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Hispanic/Latino of any race","N/A","N/A"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","White","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","American Indian or Alaska Native","N/A","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Asian","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Black or African American",38,49.4
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Hispanic/Latino of any race",38,37.3
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Two or More Races","N/A","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","White","*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","American Indian or Alaska Native","N/A","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Asian","N/A","N/A"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Black or African American","*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Hispanic/Latino of any race",17,8.1
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Two or More Races","N/A","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","White","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","American Indian or Alaska Native","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Asian","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Black or African American",264,35.8
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Hispanic/Latino of any race",169,25.0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Two or More Races","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","White",46,23.4
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","American Indian or Alaska Native","N/A","*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Asian","*","*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Black or African American",43,16.9
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Hispanic/Latino of any race",72,8.4
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Native Hawaiian or Other Pacific Islander","N/A","*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Two or More Races","N/A","*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","White","*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","American Indian or Alaska Native","*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Asian","N/A","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Black or African American",18,8.0
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Hispanic/Latino of any race","*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Native Hawaiian or Other Pacific Islander","N/A","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Two or More Races","*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","White","*","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","American Indian or Alaska Native","N/A","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Asian","N/A","*"
