"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELA",551,548,99.5,547,179,32.7,140,25.6,166,30.3,62,11.3,228,41.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Math",551,547,99.3,546,242,44.3,163,29.9,108,19.8,33,6.0,141,25.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA",544,541,99.4,541,127,23.5,149,27.5,164,30.3,101,18.7,265,49.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math",544,540,99.3,540,169,31.3,185,34.3,117,21.7,69,12.8,186,34.4
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELA",167,163,97.6,163,6,3.7,27,16.6,43,26.4,87,53.4,130,79.8
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Math",167,165,98.8,165,9,5.5,41,24.8,48,29.1,67,40.6,115,69.7
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELA",112,104,92.9,104,10,9.6,27,26.0,41,39.4,26,25.0,67,64.4
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Math",112,103,92.0,103,48,46.6,25,24.3,18,17.5,12,11.7,30,29.1
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","ELA",394,386,98.0,386,133,34.5,121,31.3,102,26.4,30,7.8,132,34.2
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Math",394,386,98.0,386,198,51.3,129,33.4,41,10.6,18,4.7,59,15.3
"Ansonia School District","=""0020011""","Mead School","=""0020311""","ELA",360,360,100.0,360,133,36.9,105,29.2,81,22.5,41,11.4,122,33.9
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Math",361,361,100.0,361,147,40.7,146,40.4,51,14.1,17,4.7,68,18.8
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","ELA",349,346,99.1,346,114,32.9,106,30.6,81,23.4,45,13.0,126,36.4
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Math",349,348,99.7,348,132,37.9,138,39.7,56,16.1,22,6.3,78,22.4
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","ELA",142,131,92.3,124,95,76.6,19,15.3,10,8.1,0,0.0,10,8.1
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Math",143,130,90.9,127,118,92.9,"*","*","*","*",0,0.0,"*","*"
