"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, English Learner Status (EL)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","ELL","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELA","N",520,517,99.4,516,160,31.0,"*","*",158,30.6,"*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELA","Y",31,31,100.0,31,19,61.3,"*","*",8,25.8,"*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Math","N",520,516,99.2,515,221,42.9,157,30.5,"*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Math","Y",31,31,100.0,31,21,67.7,"*","*","*","*",0,0.0,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA","N",502,500,99.6,500,"*","*",139,27.8,154,30.8,"*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA","Y",42,41,97.6,41,18,43.9,"*","*",10,24.4,"*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math","N",502,499,99.4,499,152,30.5,171,34.3,107,21.4,69,13.8,176,35.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math","Y",42,41,97.6,41,17,41.5,14,34.1,10,24.4,0,0.0,10,24.4
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
