"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, Special Education Status (SWD)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELA","N",503,500,99.4,499,142,28.5,133,26.7,"*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELA","Y",48,48,100.0,48,37,77.1,"*","*","*","*",0,0.0,"*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Math","N",503,499,99.2,498,199,40.0,"*","*","*","*",33,6.6,"*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Math","Y",48,48,100.0,48,43,89.6,"*","*","*","*",0,0.0,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA","N",512,510,99.6,510,100,19.6,"*","*","*","*",101,19.8,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA","Y",32,31,96.9,31,27,87.1,"*","*","*","*",0,0.0,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math","N",512,510,99.6,510,144,28.2,"*","*","*","*",69,13.5,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math","Y",32,30,93.8,30,25,83.3,"*","*","*","*",0,0.0,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELA","N",158,154,97.5,154,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELA","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Math","N",158,156,98.7,156,"*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Math","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELA","N",106,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELA","Y",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Math","N",106,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Math","Y",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","ELA","N",339,332,97.9,332,85,25.6,115,34.6,102,30.7,30,9.0,132,39.8
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","ELA","Y",55,54,98.2,54,48,88.9,6,11.1,0,0.0,0,0.0,0,0.0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Math","N",339,333,98.2,333,155,46.5,119,35.7,41,12.3,18,5.4,59,17.7
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Math","Y",55,53,96.4,53,43,81.1,10,18.9,0,0.0,0,0.0,0,0.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","ELA","N",310,310,100.0,310,91,29.4,99,31.9,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","ELA","Y",50,50,100.0,50,42,84.0,6,12.0,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Math","N",311,311,100.0,311,105,33.8,140,45.0,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Math","Y",50,50,100.0,50,42,84.0,6,12.0,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","ELA","N",294,291,99.0,291,76,26.1,92,31.6,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","ELA","Y",55,55,100.0,55,38,69.1,14,25.5,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Math","N",294,293,99.7,293,91,31.1,126,43.0,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Math","Y",55,55,100.0,55,41,74.5,"*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","ELA","N",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","ELA","Y",136,"*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Math","N",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Math","Y",137,"*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","ELA","N",625,625,100.0,624,124,19.9,214,34.3,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","ELA","Y",81,80,98.8,79,58,73.4,"*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Math","N",625,624,99.8,624,234,37.5,221,35.4,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Math","Y",81,80,98.8,80,69,86.3,8,10.0,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","ELA","Y",19,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Math","Y",19,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","ELA","N",372,371,99.7,371,86,23.2,118,31.8,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","ELA","Y",54,52,96.3,52,37,71.2,10,19.2,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Math","N",372,371,99.7,371,171,46.1,"*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Math","Y",54,52,96.3,52,47,90.4,"*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","ELA","N",219,218,99.5,218,16,7.3,53,24.3,"*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","ELA","Y",31,31,100.0,31,15,48.4,11,35.5,"*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Math","N",219,218,99.5,217,46,21.2,67,30.9,"*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Math","Y",31,31,100.0,31,23,74.2,6,19.4,"*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","ELA","N",221,209,94.6,208,19,9.1,"*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","ELA","Y",25,23,92.0,22,10,45.5,"*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Math","N",221,208,94.1,208,"*","*",45,21.6,69,33.2,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Math","Y",25,23,92.0,23,12,52.2,"*","*",0,0.0,"*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","ELA","N",495,492,99.4,492,"*","*",49,10.0,219,44.5,"*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","ELA","Y",52,52,100.0,52,"*","*",25,48.1,16,30.8,"*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Math","N",495,495,100.0,495,"*","*",77,15.6,139,28.1,"*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Math","Y",52,52,100.0,52,19,36.5,23,44.2,"*","*","*","*",10,19.2
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","ELA","N",243,236,97.1,236,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","ELA","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Math","N",243,243,100.0,243,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Math","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","ELA","N",224,224,100.0,224,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","ELA","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Math","N",224,224,100.0,224,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Math","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","ELA","N",503,499,99.2,498,"*","*",50,10.0,189,38.0,"*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","ELA","Y",54,53,98.1,53,20,37.7,"*","*",16,30.2,"*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Math","N",503,501,99.6,501,25,5.0,98,19.6,"*","*","*","*",378,75.4
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Math","Y",54,53,98.1,53,27,50.9,17,32.1,"*","*","*","*",9,17.0
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","ELA","N",176,171,97.2,170,10,5.9,28,16.5,"*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","ELA","Y",28,26,92.9,26,16,61.5,6,23.1,"*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Math","N",176,170,96.6,170,25,14.7,"*","*","*","*",25,14.7,"*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Math","Y",28,26,92.9,26,20,76.9,"*","*","*","*",0,0.0,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","ELA","N",224,219,97.8,192,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","ELA","Y",24,19,79.2,12,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Math","N",224,220,98.2,209,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Math","Y",24,18,75.0,12,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","ELA","N",634,634,100.0,634,39,6.2,148,23.3,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","ELA","Y",67,67,100.0,67,36,53.7,26,38.8,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Math","N",633,633,100.0,633,"*","*",229,36.2,"*","*",139,22.0,"*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Math","Y",67,66,98.5,66,52,78.8,"*","*","*","*",0,0.0,"*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","ELA","N",203,203,100.0,203,13,6.4,"*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","ELA","Y",25,25,100.0,25,15,60.0,"*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Math","N",203,203,100.0,203,"*","*",46,22.7,76,37.4,"*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Math","Y",25,25,100.0,25,9,36.0,9,36.0,"*","*","*","*",7,28.0
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","ELA","N",274,274,100.0,272,"*","*",53,19.5,"*","*",83,30.5,"*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","ELA","Y",24,24,100.0,24,17,70.8,"*","*","*","*",0,0.0,"*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Math","N",274,274,100.0,272,"*","*",89,32.7,"*","*",50,18.4,"*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Math","Y",24,24,100.0,24,17,70.8,"*","*","*","*",0,0.0,"*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","ELA","N",113,113,100.0,113,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","ELA","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Math","N",113,113,100.0,113,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Math","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","ELA","N",206,201,97.6,200,"*","*",36,18.0,"*","*",85,42.5,"*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","ELA","Y",34,33,97.1,33,19,57.6,"*","*","*","*",0,0.0,"*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Math","N",206,201,97.6,201,"*","*",52,25.9,"*","*",63,31.3,"*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Math","Y",34,33,97.1,33,16,48.5,"*","*","*","*",0,0.0,"*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","ELA","N",91,91,100.0,91,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","ELA","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Math","N",91,91,100.0,91,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Math","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","ELA","N",218,215,98.6,215,29,13.5,53,24.7,"*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","ELA","Y",28,25,89.3,24,9,37.5,10,41.7,"*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Math","N",218,215,98.6,215,74,34.4,"*","*","*","*",24,11.2,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Math","Y",28,24,85.7,24,18,75.0,"*","*","*","*",0,0.0,"*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","ELA","N",618,611,98.9,611,"*","*",121,19.8,269,44.0,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","ELA","Y",75,74,98.7,74,28,37.8,28,37.8,"*","*","*","*",18,24.3
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Math","N",618,613,99.2,613,121,19.7,230,37.5,"*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Math","Y",75,74,98.7,74,56,75.7,13,17.6,"*","*","*","*","*","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","ELA","N",84,83,98.8,83,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","ELA","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Math","N",84,84,100.0,84,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Math","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","ELA","N",357,355,99.4,355,"*","*",52,14.6,128,36.1,"*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","ELA","Y",30,30,100.0,30,12,40.0,11,36.7,"*","*","*","*",7,23.3
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Math","N",357,356,99.7,355,44,12.4,124,34.9,"*","*","*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Math","Y",30,30,100.0,30,13,43.3,14,46.7,"*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","ELA","N",101,101,100.0,101,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","ELA","Y",10,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
